,Frame,Pelvis x,Pelvis y,Pelvis z,L5 x,L5 y,L5 z,L3 x,L3 y,L3 z,T12 x,T12 y,T12 z,T8 x,T8 y,T8 z,Neck x,Neck y,Neck z,Head x,Head y,Head z,Right Shoulder x,Right Shoulder y,Right Shoulder z,Right Upper Arm x,Right Upper Arm y,Right Upper Arm z,Right Forearm x,Right Forearm y,Right Forearm z,Right Hand x,Right Hand y,Right Hand z,Left Shoulder x,Left Shoulder y,Left Shoulder z,Left Upper Arm x,Left Upper Arm y,Left Upper Arm z,Left Forearm x,Left Forearm y,Left Forearm z,Left Hand x,Left Hand y,Left Hand z,Right Upper Leg x,Right Upper Leg y,Right Upper Leg z,Right Lower Leg x,Right Lower Leg y,Right Lower Leg z,Right Foot x,Right Foot y,Right Foot z,Right Toe x,Right Toe y,Right Toe z,Left Upper Leg x,Left Upper Leg y,Left Upper Leg z,Left Lower Leg x,Left Lower Leg y,Left Lower Leg z,Left Foot x,Left Foot y,Left Foot z,Left Toe x,Left Toe y,Left Toe z
0,1060,0.86162111183441,-1.03481944025513,-2.45372711645682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.34503880570496,-1.9435757712448,-4.89047054742306,-3.16977920685511,-3.77964155985723,-1.7449429071283,-1.86916156214087,0.58433513169358,1.46286996966714,0,0,0,1.42621441552837,2.02925470879073,-0.961420353124016,2.29160839091869,1.96528027854175,-1.33887850182338,0.0261535931136225,-0.0239194509774138,-0.0949498129879627,0,0,0
1,1061,0.919061205116865,-1.23783553224169,-2.52190463282983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.676648314565573,-0.977912963038641,-4.05750003072282,-2.16036948367346,-2.65320596883402,-1.39348034558618,-4.15769094547912,-1.93791059044251,2.74851737769041,0,0,0,1.62934444634432,2.18336208104609,-0.978698383253054,2.34027598062798,2.20987948008585,-1.43899061378813,0.0407111270829781,0.0121267627269912,-0.113688821207472,0,0,0
2,1062,0.982439877554909,-1.37288703845736,-2.53435597173736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.700544795782604,-0.326608268564081,-3.66241315757465,-0.473684690356288,-1.32290426095208,-1.00417685908786,-7.6798175447027,-3.75076464655201,2.83849342462899,0,0,0,1.93446196827247,2.2220211727913,-1.03888308881955,2.41940870036491,2.36213832684047,-1.42960463431732,-0.0298257206429472,0.0657621016128775,-0.160535891781467,0,0,0
3,1063,0.608597384587025,-1.62750423973592,-2.25634045836975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.201281452046133,0.355763739365151,-2.94941610965801,2.96772065830649,2.71647250608912,0.45632205689134,-17.6474309621571,-4.9305871902048,-18.9861794651667,0,0,0,2.16788398294046,2.04991612292827,-0.965691483365936,2.42898418924243,2.39467531881386,-1.2297624705066,0.0609289709314148,0.0100306694678299,-0.170554756574749,0,0,0
4,1064,-0.909513965042959,-2.91559722680734,-0.782053624829358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62839786531638,1.13872281854514,-1.22948886593762,3.37805490347795,12.6177948382278,5.81181935417348,-48.3428609924683,-27.1034406783072,-43.4095336528259,0,0,0,2.05755677736638,1.63491031300743,-0.763937294910229,2.04172589480703,1.84375806755895,-0.486784323785432,0.190906736196987,0.207322552848817,-0.183253461917721,0,0,0
5,1065,-2.33749574300636,-3.36259610549113,1.19375298255752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.13565521754233,2.49879515365241,2.54038144958741,1.66844484060653,2.3127130270607,-2.94624001390078,-75.1631860950371,-23.0771391044366,36.8092411705247,0,0,0,1.41707925330544,0.836154255608814,-0.0743537169198643,1.84914781547317,0.101214834420799,1.51824289739414,0.497773169266623,0.0962356705072091,-0.079271702681842,0,0,0
6,1066,-0.302029836369817,-0.52097675231233,1.5200545727185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.53497810114986,3.49409802648965,8.0024364011162,-1.1636071633035,-12.4917601661965,-10.3189378725835,-20.7830999801791,-50.0347887182725,33.1198147534638,0,0,0,0.917292246722267,-0.719052733766921,1.70565142408566,0.527235766161894,-1.21475281670783,1.21231420339093,0.244799628802284,-0.232316772522605,0.0379618105185124,0,0,0
7,1067,0.930377130160409,2.51982401566069,0.959290996244824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.1760170877948,8.6266740755169,10.0339719483523,9.57541895572948,-13.387102965163,-0.461788179902976,41.7946021468494,16.191474757457,-27.7471231608513,0,0,0,0.681671117246805,-1.84434683855088,2.1241998692004,-1.05767846032241,-1.16234620043838,-0.424194017489697,-0.135401641998685,-0.208532972589197,0.188070751068945,0,0,0
8,1068,-0.337662405003959,3.35645004899737,1.15468453629346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.15341667907065,8.50450856304908,5.31683884225712,1.23437167558266,0.327106323503466,3.69096424017395,-0.818612301693802,17.136404205335,14.3904754707476,0,0,0,-0.678262429757251,-2.00982477257973,-0.160326461216925,-1.90840712289532,-0.0668259601622437,-0.86317434993777,-0.265290024213401,-0.164442473988506,0.144151491186352,0,0,0
9,1069,-1.66387676191544,2.41107206599804,1.28454287771562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.4002884496088,-4.4359273863887,1.62732438641245,-4.30257172649837,8.17122548622485,3.15513573114089,2.54101002133771,-11.8366868502265,-3.66612941972746,0,0,0,-2.66021831032486,-2.35849325100873,-1.983865678054,-1.7151600525415,0.228619897099954,-0.0896808568225118,-0.158715270504295,0.261214883681227,0.00551498046877941,0,0,0
