,Frame,Pelvis x,Pelvis y,Pelvis z,L5 x,L5 y,L5 z,L3 x,L3 y,L3 z,T12 x,T12 y,T12 z,T8 x,T8 y,T8 z,Neck x,Neck y,Neck z,Head x,Head y,Head z,Right Shoulder x,Right Shoulder y,Right Shoulder z,Right Upper Arm x,Right Upper Arm y,Right Upper Arm z,Right Forearm x,Right Forearm y,Right Forearm z,Right Hand x,Right Hand y,Right Hand z,Left Shoulder x,Left Shoulder y,Left Shoulder z,Left Upper Arm x,Left Upper Arm y,Left Upper Arm z,Left Forearm x,Left Forearm y,Left Forearm z,Left Hand x,Left Hand y,Left Hand z,Right Upper Leg x,Right Upper Leg y,Right Upper Leg z,Right Lower Leg x,Right Lower Leg y,Right Lower Leg z,Right Foot x,Right Foot y,Right Foot z,Right Toe x,Right Toe y,Right Toe z,Left Upper Leg x,Left Upper Leg y,Left Upper Leg z,Left Lower Leg x,Left Lower Leg y,Left Lower Leg z,Left Foot x,Left Foot y,Left Foot z,Left Toe x,Left Toe y,Left Toe z
0,535,9.42391856550212,57.1427668349167,32.8037687735035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-149.059840034021,-74.6387384410661,86.8763861339838,171.160720757249,-68.8148928687724,-172.300680310624,-3.60862075745862,-34.1623935748984,-12.1579956751012,0,0,0,-117.240350874677,70.7019375552782,171.719411699197,162.306917155877,51.1288494228332,4.20679233918292,-2.56530860885998,22.7334163361226,-167.869479448509,0,0,0
1,536,9.62354518707386,57.3013806021299,33.0642341242242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-151.628283612912,-74.3350326657768,88.347785937201,171.164327230303,-68.8127819967416,-172.042245612218,-4.2846172446871,-34.1404105125604,-12.1091590914889,0,0,0,-115.875715823078,69.7400029168135,173.166699874036,162.403968370591,50.045092342593,4.80606345125646,-1.96711096772281,24.2344804205569,-167.376618781428,0,0,0
2,537,9.81552658772036,57.4330352648765,33.2930809309129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-153.564543285646,-74.1461283856673,89.5088089556969,171.339937531487,-68.8250082221439,-171.964447446831,-6.17148245984685,-34.8600462094455,-12.0220124751585,0,0,0,-114.982518812689,68.6193932204749,174.021888790042,162.410344268639,49.0316909847928,5.34590438507185,-1.11774873720466,25.924383479488,-166.928824227657,0,0,0
3,538,9.98869625405598,57.5379755894604,33.4992195714582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-154.895638091439,-74.0182671801862,90.4463423483007,171.48242789372,-68.779925113189,-171.989342878751,-7.59895209410471,-35.4230296873336,-11.9767571511432,0,0,0,-114.486021016329,67.4103571866395,174.416201047712,162.376702600908,48.0926708721651,5.80066280662586,-0.0759294213848413,27.7279039598568,-166.494138259507,0,0,0
4,539,10.1133754510873,57.6065333387234,33.6517893071495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-155.837035198822,-73.9716875377599,91.201869276931,171.54855012274,-68.6757226695885,-172.041914636632,-7.62679112442467,-35.2965273636549,-12.0115784320556,0,0,0,-114.242778148194,66.1913915928526,174.467788212687,162.393118017922,47.2129144849747,6.18516369227565,1.00461565611557,29.5970089546486,-166.041280381924,0,0,0
5,540,10.1988092512099,57.6751871166912,33.7236119814627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-156.356802187278,-73.9844487473527,91.7278133524849,171.68265952062,-68.5635752540408,-172.078579358376,-6.57774460899521,-34.868804546428,-12.0740852882987,0,0,0,-114.145233600056,64.9936862464529,174.208635155936,162.463040997522,46.3826445365797,6.47528622136925,1.97210236736675,31.6006317179994,-165.569176180302,0,0,0
6,541,10.2861161985022,57.7967175245325,33.7174101719369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-156.289691205756,-74.0928575364209,91.8954006140693,171.762669832894,-68.3917078947194,-172.195802929503,-5.73026899105031,-34.5274599857185,-12.1131171872014,0,0,0,-114.141914086852,63.8321771991512,173.623468891208,162.620665976153,45.5796325567283,6.66228666011228,2.59874766247798,33.7263180772138,-165.162151232811,0,0,0
7,542,10.4071082385237,57.9743594628844,33.6218491881615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-155.892235251665,-74.2548268244497,91.7830667349455,171.806915514596,-68.1625360842279,-172.43815415483,-5.72820496954889,-34.5050887910298,-12.1145648406765,0,0,0,-114.22913539664,62.7251564730132,172.722608789076,162.776426351372,44.8117673103103,6.72634764542604,3.09464397197733,35.9404524825277,-164.81256334703,0,0,0
8,543,10.5762696075775,58.2021684643492,33.4612662960056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-155.546595931982,-74.3791269925927,91.580969004302,171.858909671081,-67.9028442624796,-172.740611315849,-6.29739575146912,-34.8144668198631,-12.0802752324781,0,0,0,-114.361994169641,61.6992359056754,171.606002736144,162.864767678926,44.1242201923797,6.70813410154724,3.64505611857702,37.7747550246623,-164.489553873588,0,0,0
9,544,10.7454779510684,58.4620253182011,33.2292486091722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-155.411686494969,-74.4776320849232,91.3698305867882,171.911365743078,-67.6297047170881,-173.027104122206,-6.81234340268821,-35.1344246406961,-12.0562410022102,0,0,0,-114.49321612693,60.7846463331562,170.447400870065,162.89846982018,43.5599439563961,6.65980572632276,3.85099934560296,39.1801698406941,-164.4255150897,0,0,0
