,Frame,Pelvis x,Pelvis y,Pelvis z,L5 x,L5 y,L5 z,L3 x,L3 y,L3 z,T12 x,T12 y,T12 z,T8 x,T8 y,T8 z,Neck x,Neck y,Neck z,Head x,Head y,Head z,Right Shoulder x,Right Shoulder y,Right Shoulder z,Right Upper Arm x,Right Upper Arm y,Right Upper Arm z,Right Forearm x,Right Forearm y,Right Forearm z,Right Hand x,Right Hand y,Right Hand z,Left Shoulder x,Left Shoulder y,Left Shoulder z,Left Upper Arm x,Left Upper Arm y,Left Upper Arm z,Left Forearm x,Left Forearm y,Left Forearm z,Left Hand x,Left Hand y,Left Hand z,Right Upper Leg x,Right Upper Leg y,Right Upper Leg z,Right Lower Leg x,Right Lower Leg y,Right Lower Leg z,Right Foot x,Right Foot y,Right Foot z,Right Toe x,Right Toe y,Right Toe z,Left Upper Leg x,Left Upper Leg y,Left Upper Leg z,Left Lower Leg x,Left Lower Leg y,Left Lower Leg z,Left Foot x,Left Foot y,Left Foot z,Left Toe x,Left Toe y,Left Toe z
0,128,0.0846370585147991,-0.0143433061412794,-0.054495862471393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0998332973231358,0.0886052491796213,0.0209852810911336,0.00413927703094978,0.13709978083461,-0.0527063312132299,-0.00798510006623599,0.0234736777657728,0.00334977241302364,0,0,0,0.00326301851231129,0.14633656115373,-0.0479620708984537,0.153939420608838,0.0534744579732446,0.0230908666007807,0.0543575074062444,0.0366607304341715,-0.00413171897240261,0,0,0
1,129,0.0767510299189669,-0.0454504495159246,-0.0602797680064936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13114331883587,0.0826010279154196,-0.00821357270758954,-0.00338479769078047,0.14980503188767,-0.0825222404423938,0.016615680393455,0.00794956770405564,-0.016701297471612,0,0,0,0.0392809922617788,0.170676180272092,-0.0257860744218837,0.132383476039027,0.0636426873862182,0.0483417539786564,0.0284491881961802,0.0159327309676876,-0.00636340253819939,0,0,0
2,130,0.0662222365693346,-0.0113221087521013,-0.0263039786506157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12402611648101,0.0870754932766168,0.0250399933006213,0.00724664954222506,0.136703803303084,-0.0523961471140268,-0.0052907129501167,0.0236116858131446,0.0033521680014596,0,0,0,0.0597382567261371,0.105689189099309,0.0110222187871379,0.0851278469446312,0.0467859793605994,0.0166739098078518,0.0289198854781091,0.0169502125477474,-0.00634903491376754,0,0,0
3,131,0.108541964924633,0.0317850525986022,-0.0188371124595881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101790083442513,0.0896842944382619,0.0188525785791137,-0.0105135677959047,0.0943533720912456,-0.0660214554824164,-0.00462742042978309,0.0102833094363232,-0.0169723608010443,0,0,0,0.0768632453950337,0.0758081985242429,0.014120935523912,0.0378653590309178,0.0299356879902431,-0.0149926538571556,0.00301991688286637,-0.00423464300448287,-0.00856765684741484,0,0,0
4,132,0.0754631729180082,0.0165416106219379,0.0209175594350687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0852854257440294,0.0446547327817248,0.0731347976554401,0.0300897022044209,0.10771203673769,-0.0730444773439003,-0.00405712963589521,0.00365306929934857,0.0168880587398808,0,0,0,-0.0236703310708456,0.0394540993811604,0.0573317412764897,0.0349402501149967,0.0205627131173141,0.0328606642063232,-0.0225237326128877,-0.0318385668818051,0.0486649319415959,0,0,0
5,133,0.0849976230054913,0.0574303784917556,-0.0152248801131154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0689905520269047,0.0625429418328578,0.048870907183038,0.0303930232644855,0.0921166631352403,-0.0209369495790214,-0.00429262330676958,-0.0231512415840752,-0.0237762714602739,0,0,0,-0.0819108634457963,0.079368406623604,-0.000929256826309621,0.00267422032074562,-0.0208203285470206,0.0476126183039231,0.0182068326076737,-0.0485889044039498,0.0164119666197547,0,0,0
6,134,0.0936307340075259,0.0843823026885062,0.0320339745521107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0358213361747764,0.0878294892749595,0.0911373658308638,-0.0284962359744285,0.0913436648835348,-0.0220433844848946,-1.44885811327102e-05,0.0107312246997629,-0.0169303270564926,0,0,0,-0.0970499876941103,0.0733904498093416,0.029963716849886,0.0202836077219097,-0.0413956218905884,0.0700600918424694,-0.00452648230924171,0.00524358049494276,0.0323055693246311,0,0,0
7,135,0.0418274347662707,0.083290010417065,0.0168034447204869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0421002966679358,0.0506939390429506,0.0607518776857997,-0.0178676747908448,0.0782223221924186,0.00809417375976518,0.0267489834790365,0.0223247539563339,0.00369541457154049,0,0,0,-0.0959890798423336,0.0556134189436304,0.0469335778286674,0.0047357700761622,0.0209161284496454,0.00575405118584266,0.0181180775494415,0.0077568470281756,0.0222953636810617,0,0,0
8,136,0.0364104211471507,0.0938633117062426,0.0754670777130069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0393428681377317,0.142613185711921,0.103254921789918,-0.0253576572560237,0.0383271848079483,-0.0274953733350263,0.0012217828426956,-0.00922586433322889,-0.00339609381411465,0,0,0,-0.0750307754171155,0.0324667769509758,0.0916148466067233,-0.0674746710425437,0.0873816009250671,-0.0123129584322797,-0.0170566474584033,-0.000569973650049662,0.00148259515009586,0,0,0
9,137,0.0650929205186709,0.12756291857525,0.0525945056563893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0667064684669728,0.122625801972948,0.0941583963999627,-0.00403233296563998,-0.00759943768659481,0.00398011203814064,-0.00757429873839697,0.0155444586617906,0.0100687394585687,0,0,0,-0.0651370095501671,-0.00991870533073853,0.0113875953222141,-0.0630665419447915,0.0957775545683022,-0.0601912837665834,-0.00324354272204924,0.00835447355437171,0.0323227439922553,0,0,0
10,138,0.0545466969771694,0.161717627375655,0.0865339732975063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0259278842266069,0.0891967920333435,0.0514660934192086,-0.04365715341826,0.0508831618108737,-0.0356089180484991,-0.00603079114204928,0.0156938587314708,0.0100831321374091,0,0,0,-0.00386194850777935,0.0192253359953432,-0.0701500528204168,-0.0142903313680137,0.11162135307815,-0.0285868216041539,-0.00281839603792315,0.0093906322239934,0.0323274777927139,0,0,0
11,139,0.0415239350040636,0.153208543054075,0.056172848321498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0508254696951016,0.0881850806855212,0.0575436675430295,-0.133307735318315,0.094233936417296,-0.0461451449065438,0.00584993596757013,-0.0087788751300688,-0.00335488934916905,0,0,0,0.0283630491634402,0.0369633364514666,-0.0900999343087779,0.0176152574771566,0.147532894396287,-0.0194467090625746,0.00221983684517365,0.00400574625646173,0.0416336788187089,0,0,0
12,140,0.0369682126591199,0.177695297119183,0.0313896495895042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0639846208426031,0.119504878370861,0.0212211006909492,-0.121728987378069,0.0620683067781135,-0.0447780399168262,0.00739050815819912,-0.00863038904467764,-0.00333894746434987,0,0,0,0.0609687482561105,0.0961881299682174,-0.102166023313045,0.0214279722282791,0.113165400586958,-0.0255495574645533,0.00264119146669994,0.00504189314656692,0.0416374828776879,0,0,0
13,141,0.0431119293621294,0.162002708143483,0.0143178222910296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0653007812949953,0.120330242636818,0.0211001693327774,-0.0721430735469576,0.132143732239157,-0.0683740847261096,-0.00323301118764034,-0.00746647789736229,-0.00344891276392439,0,0,0,0.103376593054112,0.0499591495442548,-0.0129447707763296,0.122461634239124,0.196986993076662,-0.0520238237600333,-0.00986578167591295,-0.0289585296476222,0.00789968065910429,0,0,0
14,142,0.0441098747106061,0.169861070129386,-0.0274658634934129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0735358216516021,0.189605860146828,0.0150571160888653,-0.0899835599279815,0.0898196328929142,-0.0819421829129529,-0.00169523841666316,-0.00731770115460351,-0.00343132503410881,0,0,0,0.135916063022506,0.10903457532154,-0.0249934167378631,0.120077141049165,0.230310090111035,-0.0459939902421879,-0.0141047851183342,-0.000745661286266008,0.0609758755014013,0,0,0
15,143,0.0553990629462652,0.130610772176242,-0.0198215531361913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0429046868901027,0.195999259172269,0.0420970058670854,-0.0703585239888555,0.133507286206278,-0.0683592884183999,-0.0104963687496737,0.0140994422167429,-0.0170457263599765,0,0,0,0.0939247971815524,0.137147564090447,-0.0972748572368758,0.194291034482546,0.205560152419468,-0.069849963010865,0.0266104976340736,-0.0175148227790343,0.0287233880459357,0,0,0
16,144,0.0699995662056208,0.147917658431313,-0.0313259762584643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0986994981573927,0.136168820124862,0.00879992294853121,-0.0507195210254073,0.17719203317866,-0.0547833313234171,-0.0117088105228041,-0.0194850742938568,-0.0238532736781454,0,0,0,0.147906042221903,0.173090360822145,-0.0647149851110445,0.213699816005399,0.189410881050028,-0.0713889556982649,0.00440304943834432,-0.0115501206546203,-0.0207032711994347,0,0,0
17,145,0.076139117609264,0.132218518928087,-0.0484021615314688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0764130448811946,0.138816354519026,0.00256354894345873,0.00113211133671878,0.173909547664122,-0.11264809763641,-0.00742782824185679,0.0143998168875847,-0.0170177044345575,0,0,0,0.162594783164153,0.261448137303945,-0.0797017242708932,0.240717874794978,0.254724733695556,-0.0322687775064944,0.0168998163094095,0.0580378020928624,-0.0435248773602389,0,0,0
