,Frame,Pelvis x,Pelvis y,Pelvis z,L5 x,L5 y,L5 z,L3 x,L3 y,L3 z,T12 x,T12 y,T12 z,T8 x,T8 y,T8 z,Neck x,Neck y,Neck z,Head x,Head y,Head z,Right Shoulder x,Right Shoulder y,Right Shoulder z,Right Upper Arm x,Right Upper Arm y,Right Upper Arm z,Right Forearm x,Right Forearm y,Right Forearm z,Right Hand x,Right Hand y,Right Hand z,Left Shoulder x,Left Shoulder y,Left Shoulder z,Left Upper Arm x,Left Upper Arm y,Left Upper Arm z,Left Forearm x,Left Forearm y,Left Forearm z,Left Hand x,Left Hand y,Left Hand z,Right Upper Leg x,Right Upper Leg y,Right Upper Leg z,Right Lower Leg x,Right Lower Leg y,Right Lower Leg z,Right Foot x,Right Foot y,Right Foot z,Right Toe x,Right Toe y,Right Toe z,Left Upper Leg x,Left Upper Leg y,Left Upper Leg z,Left Lower Leg x,Left Lower Leg y,Left Lower Leg z,Left Foot x,Left Foot y,Left Foot z,Left Toe x,Left Toe y,Left Toe z
0,795,0.0697874199778504,-0.0990670546196932,0.0334473838932302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107265982962536,-0.26526355720277,-0.0583199201231204,0.160507110450573,-0.0246523432059948,-0.0720183171437918,-0.015276708886376,-0.0133599513027376,0.0105950347127058,0,0,0,0.268361173534154,-0.11582923810416,-0.0790033384223231,0.12428725171249,-0.0897226557888488,-0.0164549899305754,0.0237234916110319,-0.0210833727234545,-0.00855986032839834,0,0,0
1,796,0.0191333166679774,-0.138358379036324,-0.014847771194748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116208770512441,-0.19041894389453,-0.0874113677169676,0.159905124819834,-0.0257042367066034,-0.0721752656129656,0.00800238058400762,0.0214095906571401,0.0186456672896269,0,0,0,0.355459958321899,-0.0907066004032249,-0.0744689484062684,0.124522985147317,-0.0905504161662119,-0.0163887179577797,-0.0155924625342887,0.0164203450118926,-0.00229555675116389,0,0,0
2,797,-0.0609993884448115,-0.233424018896071,-0.0350123442567045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0793842250204276,-0.111830956758018,-0.0781908575228598,0.271213487901762,-0.0357463784227911,-0.100732530969992,0.000342261947635146,0.014564705359649,-0.00308941692339904,0,0,0,0.36078990608316,-0.105655714015059,0.0249137337796691,0.13193993847669,0.114965484556278,-0.0460242503607154,0.0147891053690197,-0.00734493875490295,-0.00159337455457448,0,0,0
3,798,0.034014193121522,-0.221521679598332,-0.0833781869986046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087218224311945,-0.111600751623882,-0.0546157875912708,0.28694048405374,-0.0178702436899351,-0.0320322963161714,0.0102890062399143,-0.00874370291448478,-0.000105617981756179,0,0,0,0.315150717499119,-0.0662455623500355,0.0216164001686046,0.132486903416907,0.174645316028977,-0.0872609136640194,0.0154663589988001,-0.00646128885113199,-0.00159657673208097,0,0,0
4,799,0.0664622021308966,-0.264323328970078,-0.0938605157603633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0999747897673677,-0.0907189002942851,-0.0582795628038673,0.245109106938269,-0.035575514171013,-0.000536195779565651,0.0419960842707553,0.00329988190223574,0.010915505739384,0,0,0,0.256162608341376,-0.101672038093947,0.0317514530549347,0.113934655668689,0.104372056275866,-0.0591978799393571,-0.0135492255332261,0.0190791122839772,-0.00230694129468567,0,0,0
5,800,0.0194945534175399,-0.290658987481076,-0.0701466361635441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133149062114723,-0.0820387059019958,-0.0674953781600733,0.271286681302377,-0.00297050242776812,-0.0422565675012711,0.0125585123225368,-0.0388919019079579,-0.0188651236581779,0,0,0,0.114039207724959,-0.0352954798199018,0.0383146222181803,0.061385154831277,0.116220674849628,-0.0843570969257383,-0.0128767890892762,0.019985477208554,-0.00231844915268831,0,0,0
6,801,0.0983281956002363,-0.279068470825472,-0.0514423900358467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0847358240806451,-0.0245522654714607,-0.054519562901252,0.257344331936768,-0.0381387402670077,-0.0212735654196965,0.0148561525923397,-0.0105024837047945,-0.00010481438410942,0,0,0,0.0406244816349461,-0.0320689021617477,-0.0168452460211825,0.135411756225856,0.191621153410756,-0.0586504555186939,-0.0304076865101251,0.0222948407434355,-0.0316297316086205,0,0,0
7,802,0.0595078910465756,-0.235438538510435,-0.00768909066997797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0859613548996402,-0.0248124215305146,-0.0544468479087358,0.159110625446306,-0.142573564205772,0.00398296923288394,-0.0130237461377393,0.0052579377584704,0.0076450942686061,0,0,0,0.0312292697458248,0.0200169840969755,-0.00244112598800628,0.183139098157889,0.0586487343444697,-0.0352756052036592,-0.00688389141197269,-0.00845062655097152,0.0136865911169918,0,0,0
8,803,0.0883340999965895,-0.221438672601314,-0.0365679710404575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0484986236063657,-0.0344937508073991,-0.0684994795563164,0.0881903065502591,-0.0918827681495435,0.0148294027773334,0.00869683905172253,-0.017924387234223,-0.0218378985886904,0,0,0,0.023492769029091,0.0253053901483364,-0.025236698903884,0.270946576407625,0.124374066416884,-0.0669413836876269,0.00977247729447784,-0.00129783569163595,-0.016283222262825,0,0,0
9,804,0.0862949238997912,-0.165828294867019,0.0693659312847748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0110524175751869,-0.0441652073883461,-0.0825327608111949,-0.0112141226531408,-0.145312279179435,0.00898227921306849,0.0102174331843482,-0.0185099029976537,-0.0218354021110408,0,0,0,0.00894829701580946,0.00735757886697333,-0.0511519848890861,0.291561443804967,0.0914179097095438,0.016148124339445,0.0286934522898003,-0.00181737174733556,0.0130083126843734,0,0,0
