,Frame,T8_Head Lateral Bending,T8_Head Axial Bending,T8_Head Flexion/Extension,T8_LeftUpperArm Lateral Bending,T8_LeftUpperArm Axial Bending,T8_LeftUpperArm Flexion/Extension,T8_RightUpperArm Lateral Bending,T8_RightUpperArm Axial Bending,T8_RightUpperArm Flexion/Extension,Pelvis_T8 Lateral Bending,Pelvis_T8 Axial Bending,Pelvis_T8 Flexion/Extension,Vertical_Pelvis Lateral Bending,Vertical_Pelvis Axial Bending,Vertical_Pelvis Flexion/Extension,Vertical_T8 Lateral Bending,Vertical_T8 Axial Bending,Vertical_T8 Flexion/Extension
0,0,0,0,0,90.0,-90.0,-90.0,90.0,5.05115252801793,5.05115252801793,0,0,-6.31676242321572,-2.70596191980318,0,11.2371209687405,-2.68952139437655,0.297942595940881,4.91336438321054
1,1,0,0,0,90.0,-169.975012137924,-169.975012137924,90.0,3.79266029964088,3.79266029964088,0,0,-6.31676242321572,-2.64273383392126,0,11.2302725721711,-2.62667800822453,0.290970924649698,4.90683930458223
2,2,0,0,0,90.0,3.79266029964088,3.79266029964088,90.0,0.0,0.0,0,0,-6.31676242321572,-2.58314817825328,0,11.2227988695677,-2.56745485502891,0.284401518332182,4.89966327390918
3,3,0,0,0,90.0,-90.0,-90.0,90.0,-5.05115252801793,-5.05115252801793,0,0,-6.31676242321572,-2.521765726902,0,11.2154574564525,-2.50644580211652,0.277634649258198,4.89262138729188
4,4,0,0,0,90.0,-90.0,-90.0,90.0,1.68760489417698,1.68760489417698,0,0,-6.31676242321573,-2.45314370689892,0,11.208988534791,-2.43824117861511,0.270070428208527,4.88647876458566
5,5,0,0,0,90.0,7.55237227989766,7.55237227989767,90.0,0.0,0.0,0,0,-6.31676242321573,-2.3718359426613,0,11.2041163078249,-2.35742791764459,0.261108845463432,4.8819814714498
6,6,0,0,0,90.0,-172.447627720102,-172.447627720102,90.0,5.05115252801793,5.05115252801793,0,0,-6.31676242321572,-2.2833598425548,0,11.2007813277854,-2.26948985231855,0.251358363894521,4.87904008438084
7,7,0,0,0,90.0,-169.975012137924,-169.975012137924,90.0,0.0,0.0,0,0,-6.31676242321573,-2.19133937872049,0,11.1984986114761,-2.17802890739551,0.241218534463587,4.87715081567989
8,8,0,0,0,90.0,2.53049303995912,2.53049303995912,90.0,0.0,0.0,0,0,-6.31676242321572,-2.08748666092069,0,11.1973045288724,-2.07480757134699,0.229776372884166,4.87638128870976
9,9,0,0,0,90.0,-174.948847471982,-174.948847471982,90.0,0.0,0.0,0,0,-6.31676242321573,-1.96351425812662,0,11.1971793808609,-1.95158876181497,0.216119437732742,4.87673590510706
10,10,0,0,0,90.0,1.26586381389443,1.26586381389443,90.0,0.0,0.0,0,0,-6.31676242321572,-1.811134371142,0,11.1980321940406,-1.80013499814747,0.199335831763973,4.87813811529878
11,11,0,0,0,90.0,0.0,0.0,90.0,-5.05115252801793,-5.05115252801793,0,0,-6.31676242321573,-1.62206252098284,0,11.1992186091892,-1.6122120619271,0.17851470634321,4.87994445832917
12,12,0,0,0,90.0,-177.469506960041,-177.469506960041,90.0,5.05115252801793,5.05115252801793,0,0,-6.31676242321573,-1.40181894367543,0,11.2005313228606,-1.39330655012801,0.154265677988595,4.88189310613962
13,13,0,0,0,90.0,90.0,90.0,90.0,0.0,0.0,0,0,-6.31676242321572,-1.16281921887565,0,11.2025521824868,-1.15575856080743,0.127956655498153,4.88449915743665
14,14,0,0,0,90.0,-176.207339700359,-176.207339700359,90.0,3.79266029964088,3.79266029964088,0,0,-6.31676242321572,-0.917474188270751,0,11.206004195425,-0.911903555522754,0.100953712820823,4.88843837955428
15,15,0,0,0,90.0,5.05115252801793,5.05115252801793,90.0,0.0,0.0,0,0,-6.31676242321572,-0.678190184502584,0,11.2117659312685,-0.674072571874847,0.0746213850686828,4.89456455062288
16,16,0,0,0,89.9999987925817,0.0,0.0,90.0,1.68760489417697,1.68760489417698,0,0,-6.31676242321572,-0.43703239414801,0,11.2184214673577,-0.434379036065327,0.0480854537396137,4.90147676706596
17,17,0,0,0,90.0,-1.26586381389443,-1.26586381389443,90.0,0.0,0.0,0,0,-6.31676242321573,-0.185720293811836,0,11.225368951755,-0.184592746542112,0.0204339644284688,4.90857361193574
18,18,0,0,0,90.0,2.53049303995912,2.53049303995912,90.0,-90.0,-90.0,0,0,-6.31676242321572,0.0638703661336832,0,11.234912826342,0.0634825967892542,-0.00702734623819922,4.91814651004512
19,19,0,0,0,90.0,17.1899348451505,17.1899348451505,90.0,2.53049303995912,2.53049303995912,0,0,-6.31676242321572,0.299874993124149,0,11.2494746846555,0.298054378323755,-0.0329940734515264,4.93262644315974
20,20,0,0,0,90.0,90.0,90.0,90.0,1.68760489417698,1.68760489417698,0,0,-6.31676242321572,0.510434487490067,0,11.2715763889656,0.507335461036512,-0.0561620728718165,4.95456531567628
21,21,0,0,0,90.0,90.0,90.0,90.0,0.0,0.0,0,0,-6.31676242321572,0.691200780461701,0,11.3092639524423,0.687004166843091,-0.0760530791556894,4.99204556705629
22,22,0,0,0,89.9999985212207,10.0249878620757,10.0249878620757,90.0,0.0,0.0,0,0,-6.31676242321572,0.850105957471535,0,11.3611008744522,0.844944426605797,-0.0935397731861889,5.04364872015468
23,23,0,0,0,90.0,1.68760489417698,1.68760489417697,90.0,0.0,0.0,0,0,-6.31676242321572,0.993678412741005,0,11.4153943597987,0.987645001989822,-0.109340395727957,5.09768952683575
24,24,0,0,0,90.0,90.0,90.0,90.0,-90.0,-90.0,0,0,-6.31676242321572,1.12842524982144,0,11.4604014483198,1.12157348685638,-0.124170960550798,5.14242365322026
25,25,0,0,0,90.0,1.68760489417698,1.68760489417698,90.0,0.0,0.0,0,0,-6.31676242321572,1.26084639913857,0,11.4843421618843,1.25319033531186,-0.138746876102917,5.16606232095659
26,26,0,0,0,90.0,5.05115252801793,5.05115252801793,90.0,5.05115252801793,5.05115252801793,0,0,-6.31676242321572,1.38857517909088,0,11.485950163742,1.38014323822909,-0.152807677569125,5.16734723143679
27,27,0,0,0,90.0,10.0249878620757,10.0249878620757,90.0,-5.05115252801793,-5.05115252801793,0,0,-6.31676242321572,1.50724401535765,0,11.473142416675,1.49809115697615,-0.165872473248423,5.15421136586844
28,28,0,0,0,90.0,7.55237227989766,7.55237227989766,90.0,0.0,0.0,0,0,-6.31676242321572,1.62035524493892,0,11.4478755654855,1.61051515930957,-0.178326714476779,5.12860670093672
29,29,0,0,0,90.0,7.55237227989766,7.55237227989766,90.0,0.0,0.0,0,0,-6.31676242321572,1.73141550852605,0,11.412089524295,1.72090058267953,-0.190556468279565,5.09246516519821
30,30,0,0,0,89.9999985212207,14.8510624688579,14.8510624688579,90.0,2.53049303995912,2.53049303995912,0,0,-6.31676242321572,1.84392999502262,0,11.3677104579001,1.83273131266651,-0.202947802673358,5.04770188896243
31,31,0,0,0,89.9999985212207,7.55237227989766,7.55237227989766,90.0,-7.55237227989766,-7.55237227989766,0,0,-6.31676242321572,1.96142474991585,0,11.3105291191548,1.94951195416615,-0.215889272735403,4.99009347751559
32,32,0,0,0,90.0,177.469506960041,177.469506960041,90.0,3.79266029964088,3.79266029964088,0,0,-6.31676242321572,2.08156759703241,0,11.2392826727901,2.0689244904003,-0.229124274974929,4.91838300792561
33,33,0,0,0,90.0,177.469506960041,177.469506960041,90.0,-1.26586381389443,-1.26586381389443,0,0,-6.31676242321572,2.19907144256788,0,11.1602947959052,2.18571396005875,-0.242070490423009,4.83891456475063
34,34,0,0,0,90.0,-90.0,-90.0,90.0,2.53049303995912,2.53049303995912,0,0,-6.31676242321572,2.30864447808749,0,11.0798716295422,2.29462073547455,-0.254144726360302,4.75801943638954
35,35,0,0,0,89.9999985212207,180.0,-180.0,89.9999985212207,10.0249878620757,10.0249878620757,0,0,-6.31676242321572,2.40498840206971,0,11.0043031466741,2.39037875516582,-0.264762717012232,4.68201696482774
36,36,0,0,0,90.0,90.0,90.0,90.0,0.0,0.0,0,0,-6.31676242321572,2.49040335941317,0,10.9330266144125,2.47527420297089,-0.274177471758666,4.61034079424554
37,37,0,0,0,90.0,7.55237227989766,7.55237227989766,90.0,-5.05115252801793,-5.05115252801793,0,0,-6.31676242321572,2.56840867115989,0,10.8618220769507,2.55280501374623,-0.282776560454501,4.53875906463441
38,38,0,0,0,90.0,-177.469506960041,-177.469506960041,90.0,-5.05115252801793,-5.05115252801793,0,0,-6.31676242321572,2.6355456813917,0,10.7915007346439,2.61953358821927,-0.290178387475519,4.46810373818586
39,39,0,0,0,90.0,-90.0,-90.0,90.0,0.0,0.0,0,0,-6.31676242321573,2.6883760520391,0,10.7228919821061,2.67204252856208,-0.29600346711393,4.3992260923518
40,40,0,0,0,89.9999987925817,-179.156014502262,-179.156014502262,90.0,3.3722866834339,3.3722866834339,0,0,-6.31676242321572,2.72348036574459,0,10.6568345190991,2.70693324554075,-0.299874345670502,4.33298699539498
41,41,0,0,0,90.0,-0.843985497738322,-0.843985497738322,90.0,-177.469506960041,-177.469506960041,0,0,-6.31676242321573,2.73604436090611,0,10.5939385832801,2.71942079046268,-0.301259804905943,4.27002547723267
42,42,0,0,0,90.0,-174.948847471982,-174.948847471982,90.0,3.3722866834339,3.3722866834339,0,0,-6.31676242321572,2.7283853649349,0,10.5336359116924,2.7118083986518,-0.300415227258001,4.20976282061289
43,43,0,0,0,90.0,0.843985497738322,0.843985497738322,90.0,-90.0,-90.0,0,0,-6.31676242321572,2.70778693353358,0,10.4749974120447,2.69133530355858,-0.298143836655918,4.15123138036041
44,44,0,0,0,90.0,0.0,0.0,90.0,5.05115252801793,5.05115252801793,0,0,-6.31676242321572,2.68152448579786,0,10.4171022913603,2.66523265013441,-0.29524798512213,4.0934715766014
45,45,0,0,0,90.0,-90.0,-90.0,90.0,14.8510624688579,14.8510624688579,0,0,-6.31676242321572,2.65686649230945,0,10.359044656712,2.64072468243915,-0.292529161945392,4.03553978722414
