,Frame,Pelvis x,Pelvis y,Pelvis z,L5 x,L5 y,L5 z,L3 x,L3 y,L3 z,T12 x,T12 y,T12 z,T8 x,T8 y,T8 z,Neck x,Neck y,Neck z,Head x,Head y,Head z,Right Shoulder x,Right Shoulder y,Right Shoulder z,Right Upper Arm x,Right Upper Arm y,Right Upper Arm z,Right Forearm x,Right Forearm y,Right Forearm z,Right Hand x,Right Hand y,Right Hand z,Left Shoulder x,Left Shoulder y,Left Shoulder z,Left Upper Arm x,Left Upper Arm y,Left Upper Arm z,Left Forearm x,Left Forearm y,Left Forearm z,Left Hand x,Left Hand y,Left Hand z,Right Upper Leg x,Right Upper Leg y,Right Upper Leg z,Right Lower Leg x,Right Lower Leg y,Right Lower Leg z,Right Foot x,Right Foot y,Right Foot z,Right Toe x,Right Toe y,Right Toe z,Left Upper Leg x,Left Upper Leg y,Left Upper Leg z,Left Lower Leg x,Left Lower Leg y,Left Lower Leg z,Left Foot x,Left Foot y,Left Foot z,Left Toe x,Left Toe y,Left Toe z
0,0,-0.279581871220875,0.621656410608655,0.272825514395141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.22306093370432,1.10718729882604,0.350535604079633,1.4169219178451,-0.0022602145791307,-0.207185924141449,0.0572769594892655,0.0675091772035572,-0.0101014414495495,0,0,0,-0.90877409920789,-0.624061421058524,-0.111134662239641,-0.398167606888521,-0.102017861432346,0.121516428066121,-0.00674753945993768,-0.0139773420254194,0.00364175039287673,0,0,0
1,1,-0.344488036131775,0.551764766692121,0.183619666954977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.217007900688286,0.742111222026472,0.367144283434079,1.44335030355456,0.047758184561529,-0.296674781801011,0.0222364171698536,-0.00715528112815471,0.0484030150830588,0,0,0,-0.89197912557843,-0.464272274554449,-0.0984610985599712,-0.495101639760732,-0.0299183358907324,0.135235507929909,0.0642335939706525,-0.0617801509852025,0.0266534389508113,0,0,0
2,2,-0.329786573996146,0.318610362238503,0.0971008566328333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.340855798121379,0.503856740208958,-0.0114615235306577,1.44171209904276,0.230321759464714,-0.281433228759658,0.0129646652202903,0.0415750940083984,0.00302640889810313,0,0,0,-0.812639434000166,-0.288959414760361,0.106841132464979,-0.468433458994136,0.0972600798267163,0.0822903104931729,0.0480416919398115,-0.00977578941575418,0.0314466419948563,0,0,0
3,3,-0.337600823487385,0.0679919802935074,0.0323557727713411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.811453748493125,0.602855884745851,-0.185889254642619,1.2448178055103,0.461580639399754,-0.192303128612176,-0.0401684085735279,0.0424584450040317,-0.00654245170312784,0,0,0,-0.652611773122954,-0.196024794672574,0.425769179581785,-0.414156473688006,0.277594397062115,0.149157562051824,0.111112200077323,0.0662656273692567,0.0770512125179224,0,0,0
4,4,-0.303216146009539,-0.0925093891168405,0.158936491462574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03278519114183,0.682447022590143,-0.089359164466158,1.07028794351326,0.782140939528979,-0.149480525936641,-0.0167790693124708,0.0522099025521751,-0.00116919121734149,0,0,0,-0.519740320847546,-0.0196597750566067,0.744484021209288,-0.41480001384074,0.379262400246672,0.248112617218572,-0.037966333234071,0.161860625351857,0.00915425210002674,0,0,0
5,5,-0.187348952106885,-0.185477509505746,0.197917474873293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09374318103981,0.529883038534975,0.136778986453802,0.93883740778157,0.88834748230423,-0.0472641950826773,-0.022008226471192,0.0763665013138601,-0.0238273183733781,0,0,0,-0.353283289027659,0.159554816952647,0.894402977241397,-0.438477509347518,0.440249436538196,0.399392068148602,0.0812240760902358,0.139467760183584,0.0884680226589012,0,0,0
6,6,-0.148055032403231,-0.258780386091119,0.23295093069502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0239540893915,0.202834226217122,0.351578197971026,0.974736603605412,0.665928560800757,-0.0353914457074911,0.049605448513635,-0.0795899417951672,-0.0316064123430095,0,0,0,-0.213251681422844,0.44473265637578,0.921413890286027,-0.428651608306384,0.369754177151054,0.397427880491502,0.0533306365368892,0.261216882749615,0.0673299286424651,0,0,0
7,7,-0.0407450125273403,-0.314836785070221,0.210028331787765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.790922080797569,-0.244738781249342,0.413989289810775,0.962421567858308,0.217484400679739,-0.0974726553176719,0.0045609836260828,-0.0494001915595872,-0.0109134232910204,0,0,0,-0.0835504171525371,0.586934123203289,1.07451195988745,-0.501165188270814,0.372838158454094,0.506151584657362,0.0884873069867151,0.0763136087187658,0.0920868243046531,0,0,0
8,8,0.0909286431921761,-0.367008492714895,0.18592003838959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.366386708682842,-0.371913800259364,0.133838498894209,0.854118824125059,-0.206754837819862,-0.173357661608108,0.0918577068073324,0.0165898507027828,-0.0360050018194489,0,0,0,0.000460367818555518,0.527586161304003,1.38793746337049,-0.496439530696152,0.24945318172415,0.529354975876943,0.0124085989649866,0.249208834823904,0.0912514601087757,0,0,0
9,9,0.19133706711102,-0.508171607297913,0.200437323744387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0854266968817304,-0.395007889153213,-0.0669269510221469,0.56959481898255,-0.366675254292501,-0.0944169189912021,0.130393528637933,0.00609828182951354,-0.0555936967794803,0,0,0,0.55169610652251,0.0550681388959882,1.63975674463483,-0.452568272524015,0.0965573493501196,0.546901697989163,0.0691566043926636,0.339893592841283,0.084084852814156,0,0,0
