,Frame,Pelvis x,Pelvis y,Pelvis z,L5 x,L5 y,L5 z,L3 x,L3 y,L3 z,T12 x,T12 y,T12 z,T8 x,T8 y,T8 z,Neck x,Neck y,Neck z,Head x,Head y,Head z,Right Shoulder x,Right Shoulder y,Right Shoulder z,Right Upper Arm x,Right Upper Arm y,Right Upper Arm z,Right Forearm x,Right Forearm y,Right Forearm z,Right Hand x,Right Hand y,Right Hand z,Left Shoulder x,Left Shoulder y,Left Shoulder z,Left Upper Arm x,Left Upper Arm y,Left Upper Arm z,Left Forearm x,Left Forearm y,Left Forearm z,Left Hand x,Left Hand y,Left Hand z,Right Upper Leg x,Right Upper Leg y,Right Upper Leg z,Right Lower Leg x,Right Lower Leg y,Right Lower Leg z,Right Foot x,Right Foot y,Right Foot z,Right Toe x,Right Toe y,Right Toe z,Left Upper Leg x,Left Upper Leg y,Left Upper Leg z,Left Lower Leg x,Left Lower Leg y,Left Lower Leg z,Left Foot x,Left Foot y,Left Foot z,Left Toe x,Left Toe y,Left Toe z
0,0,8.81367515961876,-40.5980828579414,10.8164976320824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-113.090242134996,73.2838173491148,177.088473290513,10.6234670204173,86.8642243478864,17.5446524371562,-8.08343715242957,-28.965256706828,-168.158259064121,0,0,0,-160.60175245675,-76.1511548691408,87.2181559979166,144.053029923856,-63.9088591444873,57.3346030096909,20.9480366409929,-38.1873673656865,179.272239471017,0,0,0
1,1,8.88161728123573,-40.5697301816638,10.8979134961437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-112.711323393482,73.1644617624298,177.689915094256,10.8093944416024,86.7251410428203,17.895716445025,-8.06721127534475,-28.938389350674,-168.160315080414,0,0,0,-160.778336672285,-76.1839064228376,87.4518351726448,144.055123684378,-63.9501445752825,57.4144294079989,20.9925391704395,-38.23746298143,179.247650871484,0,0,0
2,2,8.95759132944656,-40.531857371688,10.9608261948713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-112.313659412257,73.0805972070298,178.293757602125,10.6854129711968,86.6054478141631,17.8514452590375,-8.05889575452013,-28.9139853227886,-168.160064183219,0,0,0,-160.917960208503,-76.2261744985957,87.6453731906046,144.040659533008,-63.9893416994636,57.5184489187153,21.0369404857859,-38.2895105621348,179.224635908042,0,0,0
3,3,9.04110259146332,-40.4959078284428,11.005968645163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-112.091591129951,73.035078190661,178.672179781832,10.4574899139021,86.5032127482786,17.6855015414018,-8.05691878748107,-28.8837809414028,-168.157334681765,0,0,0,-161.011459825956,-76.2945010918113,87.7808792014555,144.019322834294,-64.0245192027096,57.6303224844366,21.0945325488458,-38.3470844359969,179.199611469202,0,0,0
4,4,9.1284256466925,-40.4640226811086,11.0363991414265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-112.0356090785,73.0205292477495,178.814941302341,10.2814218532043,86.4160236688348,17.617292298857,-8.04766918860657,-28.8566470780363,-168.160109360518,0,0,0,-161.055293706202,-76.3880445295303,87.8505959357762,143.986139991193,-64.0586484164923,57.754110866072,21.1546562087215,-38.4116784100662,179.170761642872,0,0,0
5,5,9.22077488495058,-40.4408253819645,11.0589871080882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-111.964758744164,73.0326388188151,178.931089168825,10.1772149681542,86.3323279194124,17.7030683805202,-8.0387980226824,-28.8240582910938,-168.161659019633,0,0,0,-161.06443721561,-76.50510553029,87.8721148224701,143.939061358738,-64.1006620776314,57.8965100250818,21.2400900390015,-38.4813083017079,179.12767749156,0,0,0
6,6,9.319135536841,-40.4153050656672,11.0718301336632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-111.784757744031,73.0594932347776,179.174743480345,10.0305526254644,86.2434072665854,17.8237733620755,-8.02595548253814,-28.7919760249569,-168.166883303201,0,0,0,-161.037133226779,-76.6364716581831,87.8506910737111,143.886774832728,-64.1509028747586,58.0534273945925,21.3451185015953,-38.5621974025723,179.07164476693,0,0,0
7,7,9.42825413734253,-40.3900347525098,11.0770345858945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-111.464123043738,73.1041474362165,179.589683333871,9.99619715281001,86.1615605970447,18.0829877518777,-8.01606634236845,-28.7593335965613,-168.169604699134,0,0,0,-160.99409021377,-76.7716320225183,87.8008369129991,143.829031313581,-64.2020969773236,58.2157750262903,21.4706396590841,-38.6549394187073,179.003272717244,0,0,0
8,8,9.55321721761486,-40.363538360035,11.0726918852702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-111.084047560303,73.1773594697778,-179.910086066993,10.1224539568122,86.1060264923937,18.4563379412397,-8.00619828175705,-28.7266842810103,-168.172303942766,0,0,0,-160.953659763533,-76.9227694157776,87.7299334616471,143.768603943101,-64.2548877151068,58.3760640985544,21.6141136436884,-38.7576260398043,178.92236069677,0,0,0
9,9,9.70546125791274,-40.3375271335028,11.0618827299061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-110.710448360341,73.2832424191312,-179.41650801519,10.3906536443216,86.079381757475,18.8890899593911,-7.99809869635825,-28.6995616277082,-168.173767915409,0,0,0,-160.91156420133,-77.1047659970777,87.6120715535043,143.7129780699,-64.3096463971596,58.5258111698501,21.7787249566201,-38.8712828673466,178.819993668068,0,0,0
10,10,9.89191227069618,-40.3163885063552,11.0419837847172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-110.444613837244,73.4054640828933,-179.017804977648,10.6721560408797,86.0628353988585,19.2649176466271,-7.99594374053244,-28.6781592194337,-168.170775369468,0,0,0,-160.795922201694,-77.3072558601225,87.4021029945216,143.669417620722,-64.3632392464201,58.6483633771807,21.9839237865568,-39.0020518368591,178.687882862167,0,0,0
11,11,10.1161350031468,-40.2999147946679,11.0121076806502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-110.289123776194,73.5169013577083,-178.730500224508,10.9325515176847,86.0517838624144,19.5772697708045,-7.99968530450483,-28.6590639688093,-168.163083208533,0,0,0,-160.650673652821,-77.4903542285112,87.1221982105927,143.627405513296,-64.4177086643337,58.75338726527,22.2536528745278,-39.1555131514442,178.508866404893,0,0,0
12,12,10.378792714734,-40.2810792407024,10.9746776071299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-110.144696280018,73.6094655719716,-178.493584492156,11.0598678752025,86.0468252835088,19.728330765414,-8.00609525450081,-28.6421838542853,-168.155961177945,0,0,0,-160.479062096126,-77.6600771478636,86.7603168876725,143.612380133681,-64.4662439023129,58.8097036836967,22.5549422634158,-39.3211891045726,178.287684842393,0,0,0
13,13,10.6774405283663,-40.2638208309751,10.9332660058735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-109.982388431689,73.6821365598033,-178.292079565149,11.0677902700948,86.035172897083,19.7432481152068,-8.01462209242483,-28.6253811370161,-168.146412455754,0,0,0,-160.29351402567,-77.819825059963,86.3298785683355,143.617001287343,-64.5133811445739,58.8218835463246,22.8826083593707,-39.4994303700886,178.042575092769,0,0,0
14,14,11.0080401578365,-40.2539211513443,10.8764707851317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-109.840606998455,73.7205291505903,-178.168644966809,11.0071369078855,86.0089632214811,19.6949508731641,-8.01812195598755,-28.6056034673413,-168.139880283288,0,0,0,-160.083326342185,-77.9800637955929,85.8359228024312,143.654982432885,-64.5535599633964,58.7836556315109,23.2385543100123,-39.6696338443899,177.767244036478,0,0,0
15,15,11.3615135886689,-40.2504830415631,10.8046618261907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-109.749999905059,73.7331921806915,-178.127650892949,11.0132589218924,85.9646576759655,19.7311806603192,-8.01954768413692,-28.5891594786043,-168.13602288102,0,0,0,-159.833636777767,-78.1328820894666,85.2895309573477,143.730803019025,-64.5855105027249,58.6923943225874,23.6066989617596,-39.8318929829325,177.473802447184,0,0,0
16,16,11.7228883882,-40.2511101222267,10.7221904646038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-109.694450909704,73.7308286499556,-178.144227460108,11.1118024619739,85.89840572243,19.8662827786565,-8.019672739573,-28.5720001714744,-168.134539692583,0,0,0,-159.569503828528,-78.2707629290077,84.7213937237397,143.838452526771,-64.6045254540899,58.5485882984655,23.9782717843838,-39.9804563142712,177.170612080494,0,0,0
17,17,12.0793355920488,-40.2535372654712,10.634006650354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-109.675493741034,73.7171674351164,-178.21749215496,11.3084699208321,85.8087679280848,20.0831711511615,-8.01919266385917,-28.5561755144219,-168.133555610694,0,0,0,-159.293290891279,-78.401110613379,84.1456437135589,143.976966145872,-64.6124305904782,58.347565957826,24.348926549798,-40.1160224250199,176.857399635233,0,0,0
18,18,12.4139109997626,-40.2465759525594,10.5423568760406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-109.679186807278,73.6992932964397,-178.323730330605,11.5338798520329,85.7059927010842,20.2932777245514,-8.02061742928856,-28.5431722600945,-168.131566178532,0,0,0,-159.041142447986,-78.5146100037664,83.6038995477332,144.128450585566,-64.6195332580969,58.1025653872271,24.7332438517715,-40.2334029430618,176.527323309196,0,0,0
19,19,12.7280799200133,-40.2167966523668,10.4527982110151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-109.633290891684,73.6821007801368,-178.38400295053,11.8240342761927,85.6061724308201,20.5309640086919,-8.02803859327471,-28.5297928055976,-168.126724074517,0,0,0,-158.840213027937,-78.6250743756054,83.1325271308675,144.304082823361,-64.6299281681981,57.81535981702,25.139560398264,-40.3302066347127,176.161384229858,0,0,0
20,20,13.0164063729648,-40.1701581819811,10.3569843183913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-109.524847380096,73.6649502416481,-178.383134184819,12.0922903823669,85.5094855833531,20.721455307526,-8.04145385454469,-28.5160360116086,-168.119032598515,0,0,0,-158.706333797234,-78.7276572851517,82.7461972556437,144.485251529043,-64.6402044632266,57.5112815692018,25.5808114265212,-40.3778817823235,175.762912442225,0,0,0
21,21,13.3014555862286,-40.1107203425969,10.2279308412194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-109.382493645084,73.6526869255384,-178.338294467316,12.3505217977056,85.4212402956799,20.8909816178686,-8.06077919708379,-28.5080006617914,-168.106920929059,0,0,0,-158.625430768899,-78.8252311356931,82.4259959280378,144.713088646409,-64.6472680054745,57.153543715799,26.1339182272929,-40.2843199918716,175.34915830176,0,0,0
22,22,13.5404770176618,-40.0605163436257,10.1219555576027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-109.202727638954,73.6450661820314,-178.259278413109,12.6575962628271,85.3402896540112,21.1217844701329,-8.0898139624741,-28.5018415171673,-168.091330990959,0,0,0,-158.644733785423,-78.9022519835226,82.2245514375122,144.983885694459,-64.6408446795037,56.7450000381799,26.7538046375441,-40.0976240581405,174.923069173186,0,0,0
23,23,13.7509003774886,-40.0116473566137,10.0220993204354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-109.009233166041,73.642457109611,-178.166612797495,12.9556889645252,85.2629687911437,21.3710728896915,-8.12342453066243,-28.4972657809867,-168.073439878619,0,0,0,-158.805938950937,-78.9579833628152,82.1826204653544,145.283193053423,-64.6264576164478,56.3151418723452,27.3735386589247,-39.8376858145442,174.499627804226,0,0,0
24,24,13.940836614627,-39.9532945726733,9.90989475685378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-108.832279392394,73.6373848368151,-178.08551727602,13.307593586882,85.1938545057038,21.7071937660421,-8.15950110939469,-28.4941943164978,-168.055666093333,0,0,0,-159.071209758909,-79.0154146532363,82.2541950725195,145.621187472475,-64.6022553668997,55.8687058595157,28.0307113380367,-39.4321291800703,174.092019493108,0,0,0
25,25,14.1342765419738,-39.9023219135099,9.78686589506967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-108.637993301538,73.6234916795447,-177.973469372761,13.6443503999422,85.123856410849,22.0591014949907,-8.19995965061115,-28.4919949809598,-168.035127918865,0,0,0,-159.459461790368,-79.0734503931157,82.4739350097209,145.994027271003,-64.5700299447753,55.4198711587808,28.767357536992,-38.9075746598575,173.700645438417,0,0,0
26,26,14.3098502073035,-39.8808980460267,9.66481240878946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-108.461100897294,73.6005137976358,-177.872729466452,13.9697534691442,85.0575766736051,22.4168932493261,-8.24625989113584,-28.4921061832844,-168.011525715083,0,0,0,-159.975023709972,-79.1389530743492,82.8537275295235,146.3998353881,-64.5394279667121,54.9789183386367,29.5162621491036,-38.3620733693241,173.34863898451,0,0,0
27,27,14.4673841103484,-39.8803079571944,9.5370952688372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-108.321133748112,73.5690052302495,-177.80553327724,14.2793557850507,85.0000528808553,22.7460735953676,-8.29321955333356,-28.4942758941655,-167.987658981562,0,0,0,-160.54786912649,-79.2198026376813,83.3227419013927,146.82918898435,-64.5099121345542,54.5563163001143,30.2745454151653,-37.9086624252378,173.130557109205,0,0,0
