,Frame,T8_Head Lateral Bending,T8_Head Axial Bending,T8_Head Flexion/Extension,T8_LeftUpperArm Lateral Bending,T8_LeftUpperArm Axial Bending,T8_LeftUpperArm Flexion/Extension,T8_RightUpperArm Lateral Bending,T8_RightUpperArm Axial Bending,T8_RightUpperArm Flexion/Extension,Pelvis_T8 Lateral Bending,Pelvis_T8 Axial Bending,Pelvis_T8 Flexion/Extension,Vertical_Pelvis Lateral Bending,Vertical_Pelvis Axial Bending,Vertical_Pelvis Flexion/Extension,Vertical_T8 Lateral Bending,Vertical_T8 Axial Bending,Vertical_T8 Flexion/Extension
0,0,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-5.86890772918096,-0.557194377149235,-5.42891663201351,-5.93152319015972,-0.566557934528284,-11.7453759546435
1,1,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-6.06273306768886,-0.57827932767359,-5.45302251117474,-6.1277235854331,-0.588025116447703,-11.7694584450513
2,2,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-6.25991006525282,-0.600394589616608,-5.48197630030918,-6.32739304893245,-0.610547893780366,-11.7983867648442
3,3,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-6.45549501597718,-0.622248645996652,-5.50807813514693,-6.52544090866187,-0.632804046817578,-11.8244624919576
4,4,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,-6.64450965825467,-0.642434910250759,-5.52365996867024,-6.71672866943052,-0.6533527725939,-11.8400193859253
5,5,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,-6.82194399052708,-0.659443435115076,-5.52108505747126,-6.89607422035689,-0.670646917799246,-11.8374228554161
6,6,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-6.99187544010495,-0.673100184292809,-5.49707686166143,-7.06753415859544,-0.684503271257548,-11.8133969110826
7,7,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-7.15757914760499,-0.684181979253254,-5.45680018497849,-7.23447214853082,-0.695717562989769,-11.7731055846354
8,8,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-7.31283400639137,-0.692600907320696,-5.40528095085185,-7.39065858152197,-0.70420694063996,-11.7215750815486
9,9,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-7.45142888489493,-0.698353269702297,-5.3475179619965,-7.52988342365563,-0.709974907243888,-11.6638043358959
