,Frame,Pelvis x,Pelvis y,Pelvis z,L5 x,L5 y,L5 z,L3 x,L3 y,L3 z,T12 x,T12 y,T12 z,T8 x,T8 y,T8 z,Neck x,Neck y,Neck z,Head x,Head y,Head z,Right Shoulder x,Right Shoulder y,Right Shoulder z,Right Upper Arm x,Right Upper Arm y,Right Upper Arm z,Right Forearm x,Right Forearm y,Right Forearm z,Right Hand x,Right Hand y,Right Hand z,Left Shoulder x,Left Shoulder y,Left Shoulder z,Left Upper Arm x,Left Upper Arm y,Left Upper Arm z,Left Forearm x,Left Forearm y,Left Forearm z,Left Hand x,Left Hand y,Left Hand z,Right Upper Leg x,Right Upper Leg y,Right Upper Leg z,Right Lower Leg x,Right Lower Leg y,Right Lower Leg z,Right Foot x,Right Foot y,Right Foot z,Right Toe x,Right Toe y,Right Toe z,Left Upper Leg x,Left Upper Leg y,Left Upper Leg z,Left Lower Leg x,Left Lower Leg y,Left Lower Leg z,Left Foot x,Left Foot y,Left Foot z,Left Toe x,Left Toe y,Left Toe z
0,0,0.44376992980055,-0.997693042755535,0.478177872657181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.616655546693426,0.291775688883415,0.21642941715008,2.62030369972577,-0.228801178732384,-0.00137370276195092,3.10551196349789,-3.33350426843871,1.39007267087306,0,0,0,-0.605557713081347,-0.346567884711783,-0.449185144695557,-0.358860576113239,-0.533320339671887,-0.0506848852517567,-0.0648403270117684,-0.0427908572838528,0.0453791600452558,0,0,0
1,1,0.449015258002419,-1.13029361802268,0.179387693286767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.803348364862551,0.251110200890868,-0.203903402223876,2.87439256019305,-0.401639080068504,-0.0282332616715433,3.39124020517435,-4.0696565500316,-0.159184205464511,0,0,0,-0.456329941186362,-0.160073790819964,-0.26446157557571,-0.402753287004549,-0.424965366309257,0.113241347611359,-0.032452550910566,-0.0337353633475021,0.0452930048155107,0,0,0
2,2,0.308981578462462,-1.04433250267727,-0.10463476765654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.02631391622933,0.0685934566149751,-0.257386503865625,2.67469119530953,-0.565054686590186,-0.146375676972404,3.20592823004207,-5.14380511198128,-0.33800576597379,0,0,0,-0.31233751416328,0.0342439658554159,-0.18317906926276,-0.421231624174395,-0.247764353299171,0.115111851187255,-0.0229543047289213,-0.0726371856347913,0.0312062394279806,0,0,0
3,3,0.11837336315926,-1.03146519179219,-0.26914764972968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.49393138809687,-0.000306616413940641,-0.627331540415767,2.3154263673512,-0.58135312987615,-0.35187231355342,2.82170600220966,-6.2905884772573,0.81116405994004,0,0,0,-0.374054035358483,0.231682029456596,-0.197566986931367,-0.46400986667013,-0.0563861283056173,0.137606542437895,-9.87317245283031e-05,-0.0320753537832029,0.0217578073540459,0,0,0
4,4,0.0131696710266687,-0.869800642017348,-0.325488931482875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.89769992401426,-0.108766709059513,-0.8825944908036,1.86235447973611,-0.881501109063005,-0.449037376690912,0.168157363692672,-4.01328597752232,5.7692361468935,0,0,0,-0.496329524369484,0.28887050055163,-0.0143887501986057,-0.481769570153501,0.167649921145945,0.166913317414897,0.00331370922250739,0.0142297316597231,-0.0158183409828254,0,0,0
5,5,-0.0248225159121418,-0.733193469958205,-0.300261599932504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.68597921957369,0.00571601415675256,-1.05304763893917,1.41317681285269,-1.28350385587476,-0.181140057826868,0.115424824627181,-3.19323017157459,4.47510665202736,0,0,0,-0.611004357595303,0.399437852881547,0.191320650420785,-0.54784764921848,0.475436614623736,0.0552141777373567,-0.0860970829156055,0.071758618140904,0.0126565039426101,0,0,0
6,6,-0.175820581277577,-0.619487975487798,-0.171440623359635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.65013308850841,-0.0817140213956249,-1.08043036064812,0.356732234234681,-0.562434457964152,-6.20224827520275,0.146201129037997,-2.29859439312703,1.14687031637784,0,0,0,-0.51940678152629,0.330833785814203,0.38915270845529,-0.469370019852509,0.666756925218826,0.130802154969256,-0.00369087792698314,0.0935799689837733,0.0641181741727443,0,0,0
7,7,-0.0031799860847314,-0.560607230645074,-0.141206793447385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.81777900298686,-0.221421280817902,-0.941321028270655,0.0220642073556759,-0.0687614974477282,-9.40163168404367,-0.681119452610944,-1.82329206421874,0.13417658949772,0,0,0,-0.429731152056446,0.468906310049346,0.207623366308928,-0.349228820306027,0.65250605862865,0.163447303428466,-0.0220896651236504,0.0931985899048686,0.012507623343069,0,0,0
8,8,0.0240230482218953,-0.552883224850182,-0.0518208567270868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.9415250543866,-0.274536769726339,-1.00568721726974,0.00878325482079028,-0.0582444453850966,-9.39871456213832,-2.10601946774529,-0.692693654123138,0.598814664646238,0,0,0,-0.357397677031988,0.411979323261302,0.441822987973451,-0.280866220600514,0.547275684343505,0.0533520412539854,-0.0360155296411851,0.0726199625008431,0.0173051182078634,0,0,0
9,9,0.00495549582643762,-0.547717107114385,-0.052449633755737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.8728933116769,-0.423153193225314,-0.821271007736847,0.063150587809757,-0.373326368483025,-6.15335857473753,-3.52145541087645,1.49294864471322,0.0129385470231238,0,0,0,-0.136648087128567,0.138130540123628,0.562995143514538,-0.135170655099523,0.542575855650757,-0.036094113066774,-0.00694592039203745,0.0961269048586259,0.0642499880556784,0,0,0
