,Frame,Pelvis x,Pelvis y,Pelvis z,L5 x,L5 y,L5 z,L3 x,L3 y,L3 z,T12 x,T12 y,T12 z,T8 x,T8 y,T8 z,Neck x,Neck y,Neck z,Head x,Head y,Head z,Right Shoulder x,Right Shoulder y,Right Shoulder z,Right Upper Arm x,Right Upper Arm y,Right Upper Arm z,Right Forearm x,Right Forearm y,Right Forearm z,Right Hand x,Right Hand y,Right Hand z,Left Shoulder x,Left Shoulder y,Left Shoulder z,Left Upper Arm x,Left Upper Arm y,Left Upper Arm z,Left Forearm x,Left Forearm y,Left Forearm z,Left Hand x,Left Hand y,Left Hand z,Right Upper Leg x,Right Upper Leg y,Right Upper Leg z,Right Lower Leg x,Right Lower Leg y,Right Lower Leg z,Right Foot x,Right Foot y,Right Foot z,Right Toe x,Right Toe y,Right Toe z,Left Upper Leg x,Left Upper Leg y,Left Upper Leg z,Left Lower Leg x,Left Lower Leg y,Left Lower Leg z,Left Foot x,Left Foot y,Left Foot z,Left Toe x,Left Toe y,Left Toe z
0,0,0.349365234375,-0.986572265625,-0.2412109375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.649658203125,0.270751953125,-0.5849609375,-0.34130859375,-0.60400390625,0.533935546875,0.705322265625,0.586181640625,-0.54736328125,0,0,0,0.634033203125,-0.165771484375,0.7119140625,0.307861328125,0.617431640625,0.69140625,0.770263671875,0.575439453125,-0.247802734375,0,0,0
1,1,0.3330078125,-0.9951171875,-0.23291015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6357421875,0.274658203125,-0.5751953125,-0.3427734375,-0.60009765625,0.550537109375,0.70361328125,0.55908203125,-0.538330078125,0,0,0,0.6201171875,-0.16943359375,0.72119140625,0.306640625,0.6162109375,0.6923828125,0.778564453125,0.5771484375,-0.2451171875,0,0,0
2,2,0.3427734375,-0.9912109375,-0.23388671875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.646240234375,0.287841796875,-0.570068359375,-0.321044921875,-0.59033203125,0.554931640625,0.720703125,0.55029296875,-0.541748046875,0,0,0,0.6298828125,-0.16552734375,0.718994140625,0.31396484375,0.609375,0.691162109375,0.773681640625,0.5810546875,-0.23974609375,0,0,0
3,3,0.3359375,-1.005615234375,-0.23583984375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.641357421875,0.279541015625,-0.572509765625,-0.31396484375,-0.59375,0.559326171875,0.7158203125,0.53466796875,-0.545166015625,0,0,0,0.62255859375,-0.177490234375,0.71630859375,0.305908203125,0.614013671875,0.688720703125,0.779541015625,0.57958984375,-0.248291015625,0,0,0
4,4,0.344482421875,-0.999267578125,-0.222412109375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.656494140625,0.291259765625,-0.558837890625,-0.313720703125,-0.58349609375,0.561767578125,0.7255859375,0.5439453125,-0.53564453125,0,0,0,0.634033203125,-0.16845703125,0.725830078125,0.31005859375,0.6103515625,0.701171875,0.78271484375,0.58544921875,-0.24267578125,0,0,0
5,5,0.33447265625,-1.0,-0.228271484375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6484375,0.292236328125,-0.56201171875,-0.30810546875,-0.593994140625,0.5615234375,0.705322265625,0.556640625,-0.5419921875,0,0,0,0.622314453125,-0.1689453125,0.719482421875,0.304443359375,0.619384765625,0.689208984375,0.781494140625,0.57958984375,-0.24169921875,0,0,0
6,6,0.329833984375,-1.00244140625,-0.231689453125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.646484375,0.28955078125,-0.56640625,-0.2861328125,-0.589599609375,0.5576171875,0.688232421875,0.576416015625,-0.550048828125,0,0,0,0.622314453125,-0.1748046875,0.71923828125,0.30126953125,0.612548828125,0.693359375,0.779296875,0.576416015625,-0.235107421875,0,0,0
7,7,0.333740234375,-0.99072265625,-0.227294921875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.655517578125,0.302978515625,-0.562255859375,-0.287109375,-0.5947265625,0.554443359375,0.680908203125,0.611083984375,-0.546142578125,0,0,0,0.6259765625,-0.15869140625,0.719970703125,0.310302734375,0.605712890625,0.68994140625,0.780029296875,0.57421875,-0.25244140625,0,0,0
8,8,0.327880859375,-1.007568359375,-0.228759765625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65478515625,0.2822265625,-0.56103515625,-0.278564453125,-0.600341796875,0.545166015625,0.65869140625,0.617431640625,-0.553466796875,0,0,0,0.6201171875,-0.175537109375,0.72265625,0.305908203125,0.613525390625,0.686279296875,0.777587890625,0.583984375,-0.2431640625,0,0,0
9,9,0.330322265625,-1.009033203125,-0.228759765625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.663330078125,0.279052734375,-0.560546875,-0.2734375,-0.611328125,0.53955078125,0.649169921875,0.6435546875,-0.54931640625,0,0,0,0.62744140625,-0.17578125,0.722900390625,0.302490234375,0.614501953125,0.6953125,0.7880859375,0.5771484375,-0.249267578125,0,0,0
10,10,0.323974609375,-1.013671875,-0.225341796875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65478515625,0.269775390625,-0.55908203125,-0.275146484375,-0.612060546875,0.53759765625,0.6259765625,0.659423828125,-0.544921875,0,0,0,0.6201171875,-0.1826171875,0.728271484375,0.303955078125,0.609130859375,0.69970703125,0.779296875,0.580322265625,-0.239013671875,0,0,0
11,11,0.326416015625,-1.002685546875,-0.226318359375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66552734375,0.2744140625,-0.5634765625,-0.257080078125,-0.62255859375,0.519287109375,0.61669921875,0.696044921875,-0.539306640625,0,0,0,0.62255859375,-0.1728515625,0.727294921875,0.30517578125,0.61474609375,0.697509765625,0.77978515625,0.576171875,-0.236572265625,0,0,0
12,12,0.32177734375,-1.004638671875,-0.224853515625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66455078125,0.26513671875,-0.5595703125,-0.259033203125,-0.625244140625,0.5166015625,0.59912109375,0.713623046875,-0.532470703125,0,0,0,0.6220703125,-0.175537109375,0.728515625,0.302734375,0.612548828125,0.697509765625,0.780029296875,0.578369140625,-0.247314453125,0,0,0
13,13,0.314697265625,-1.002685546875,-0.22705078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.662841796875,0.261962890625,-0.564208984375,-0.2470703125,-0.631591796875,0.51025390625,0.590576171875,0.730712890625,-0.525390625,0,0,0,0.618408203125,-0.177978515625,0.723876953125,0.30712890625,0.618896484375,0.69189453125,0.779541015625,0.58203125,-0.23779296875,0,0,0
14,14,0.3203125,-1.007568359375,-0.224853515625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.675048828125,0.246826171875,-0.557373046875,-0.24267578125,-0.639404296875,0.501708984375,0.58935546875,0.73681640625,-0.511962890625,0,0,0,0.625,-0.184814453125,0.729736328125,0.2998046875,0.612060546875,0.69921875,0.78125,0.58349609375,-0.23486328125,0,0,0
15,15,0.318115234375,-1.0068359375,-0.237060546875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.674072265625,0.24267578125,-0.567138671875,-0.246337890625,-0.638671875,0.499755859375,0.58349609375,0.7490234375,-0.513916015625,0,0,0,0.621826171875,-0.185546875,0.721435546875,0.303466796875,0.60693359375,0.688232421875,0.778564453125,0.578857421875,-0.241455078125,0,0,0
16,16,0.319580078125,-1.0029296875,-0.22900390625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.679931640625,0.233154296875,-0.560302734375,-0.232421875,-0.64453125,0.512451171875,0.58349609375,0.755615234375,-0.495361328125,0,0,0,0.623046875,-0.185302734375,0.728271484375,0.30126953125,0.6142578125,0.691650390625,0.77734375,0.576904296875,-0.238037109375,0,0,0
17,17,0.314453125,-1.00537109375,-0.227294921875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67919921875,0.2216796875,-0.56005859375,-0.235595703125,-0.6455078125,0.503662109375,0.584228515625,0.758544921875,-0.48291015625,0,0,0,0.618408203125,-0.191162109375,0.72998046875,0.297607421875,0.60888671875,0.698486328125,0.765380859375,0.58740234375,-0.235107421875,0,0,0
