,Frame,Pelvis x,Pelvis y,Pelvis z,L5 x,L5 y,L5 z,L3 x,L3 y,L3 z,T12 x,T12 y,T12 z,T8 x,T8 y,T8 z,Neck x,Neck y,Neck z,Head x,Head y,Head z,Right Shoulder x,Right Shoulder y,Right Shoulder z,Right Upper Arm x,Right Upper Arm y,Right Upper Arm z,Right Forearm x,Right Forearm y,Right Forearm z,Right Hand x,Right Hand y,Right Hand z,Left Shoulder x,Left Shoulder y,Left Shoulder z,Left Upper Arm x,Left Upper Arm y,Left Upper Arm z,Left Forearm x,Left Forearm y,Left Forearm z,Left Hand x,Left Hand y,Left Hand z,Right Upper Leg x,Right Upper Leg y,Right Upper Leg z,Right Lower Leg x,Right Lower Leg y,Right Lower Leg z,Right Foot x,Right Foot y,Right Foot z,Right Toe x,Right Toe y,Right Toe z,Left Upper Leg x,Left Upper Leg y,Left Upper Leg z,Left Lower Leg x,Left Lower Leg y,Left Lower Leg z,Left Foot x,Left Foot y,Left Foot z,Left Toe x,Left Toe y,Left Toe z
0,464,0.159396828481344,0.958102081672384,-0.5941324690644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.695574237073629,0.832691268731001,-0.195885975827904,0.527989536737751,0.630225847988476,-0.0858854075872078,-0.0415587053906099,0.0757955713792869,-0.0311825712997322,0,0,0,-2.34125794396879,-2.08015905174402,-1.32707928060125,-0.571713122380564,-0.327638667493953,-6.29412322060651,-0.323297294935971,-1.18577206404528,0.334147939479113,0,0,0
1,465,0.606818548361766,1.38622449389003,-0.0188530706829777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05713278421943,0.637408791746801,-0.267812968211295,0.701590020137857,0.486367498339061,-0.114553981135987,-0.00802873042777194,0.0563411677968991,0.0148996991614663,0,0,0,-1.89994195607182,-2.30687736822503,-1.42422861598053,-1.29075172877125,-1.92844686559375,-0.441438269217473,-0.317146749590209,-0.350407378050095,0.153944609248704,0,0,0
2,466,1.01757117552014,1.69735826529109,0.527573847790183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.376303172182,0.564188725818137,-0.184765125390685,0.938158137522049,0.40083539010517,-0.12338565334683,0.00408247182513351,0.0437164946164487,-0.0370747292799241,0,0,0,-1.31228836961596,-1.88707512057233,-1.34518806524969,-0.965490679176906,-2.24351335917765,-0.742564053655983,-0.330607696883464,0.127894827412728,0.119564356114827,0,0,0
3,467,0.96946489313294,1.86538018095856,0.835214130047632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59137074272623,0.527673192837336,-0.0439889942074174,1.10711652783117,0.416267022054763,-0.169912322983617,0.0764879686279244,0.0954280579348149,0.0115642399550246,0,0,0,-0.989451228990401,-1.34758957853373,-1.27555467265086,-0.769169398730415,-1.95216504630799,-0.729760663254808,-0.337424927729873,0.323485652327324,0.0789717458828161,0,0,0
4,468,0.691385659098566,1.8522662077065,0.803255463311057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.74297806295972,0.479696286960855,-0.0100061261035762,1.23355831850125,0.497517871312154,-0.120275645760644,0.0304334389653106,-0.0138049186828181,0.0270005290656048,0,0,0,-0.984507873083761,-0.990618785314189,-0.869477579507352,-0.90561249463923,-1.18844154925058,-0.568183553706078,-0.130713763585108,0.162308649258003,0.0281806257609372,0,0,0
5,469,0.737354490086972,1.60013982417076,0.72151770467713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82619111687338,0.487288768738669,0.0466102148480427,1.26344258275151,0.656083341669855,-0.0684083694459989,0.0858461313004018,0.0393221393775184,0.0370091077984132,0,0,0,-0.793388637061513,-0.380226550336552,-0.21492446848173,-0.957792052418884,-0.378745397951437,-0.0657774380026499,-0.0373747261332929,0.033955763762786,0.0597396442436064,0,0,0
6,470,0.671462496459068,1.23308100881638,0.621183321670076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77540866926056,0.357697754459875,-0.0251303240147873,1.26354711969578,0.660569488079057,0.00870431189975562,0.0685618544930588,0.0746354948500322,0.00121179816166617,0,0,0,-0.573594923346477,0.0594094985712321,0.661190057844307,-0.866878662407921,-0.0682781308114844,0.334866623531015,0.0691180321301678,-0.093195930458247,0.0110870214583478,0,0,0
7,471,0.460382967500771,0.728134774391403,0.610224937908569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.68877222699492,0.281209150424816,-0.0715685013107326,1.18533880885723,0.658220709893325,0.0549555429012987,0.0906267104145937,0.0370026509143415,0.0369283014836803,0,0,0,-0.10152609552849,0.142164921633539,1.5049111451534,-0.505801165542803,-0.0329013484928562,0.64831253794812,0.153587148587214,-0.0308130457584471,0.0824437338866666,0,0,0
8,472,0.311864649366839,0.240079563165229,0.676163787903727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56477358670707,0.13202529619423,-0.109949026615158,1.02103299729407,0.484247751512475,0.119478865558522,0.0944072100421118,0.0508301682214649,0.0680122809757506,0,0,0,0.673545195645533,-0.000327129748163221,1.95415437110922,-0.234775562695868,0.106441051186917,0.784219509971585,0.0694022391174665,0.144921371959605,0.156220935355297,0,0,0
9,473,0.164634301914159,-0.212616713309674,0.70031314033122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38571231217014,0.0555871426383848,-0.0518921617543633,0.780123090403109,0.337987559404646,0.143136083339341,0.0596665905437231,-0.0224502119392543,0.0653842402744864,0,0,0,1.25622386380702,0.0231616358617792,1.82307760349463,0.155438289737637,0.391716653695363,0.832796857689823,0.0140197556899445,0.245890338054099,0.113261628447638,0,0,0
