,Frame,Pelvis x,Pelvis y,Pelvis z,L5 x,L5 y,L5 z,L3 x,L3 y,L3 z,T12 x,T12 y,T12 z,T8 x,T8 y,T8 z,Neck x,Neck y,Neck z,Head x,Head y,Head z,Right Shoulder x,Right Shoulder y,Right Shoulder z,Right Upper Arm x,Right Upper Arm y,Right Upper Arm z,Right Forearm x,Right Forearm y,Right Forearm z,Right Hand x,Right Hand y,Right Hand z,Left Shoulder x,Left Shoulder y,Left Shoulder z,Left Upper Arm x,Left Upper Arm y,Left Upper Arm z,Left Forearm x,Left Forearm y,Left Forearm z,Left Hand x,Left Hand y,Left Hand z,Right Upper Leg x,Right Upper Leg y,Right Upper Leg z,Right Lower Leg x,Right Lower Leg y,Right Lower Leg z,Right Foot x,Right Foot y,Right Foot z,Right Toe x,Right Toe y,Right Toe z,Left Upper Leg x,Left Upper Leg y,Left Upper Leg z,Left Lower Leg x,Left Lower Leg y,Left Lower Leg z,Left Foot x,Left Foot y,Left Foot z,Left Toe x,Left Toe y,Left Toe z
0,0,-0.160943254556725,-0.309767650900421,-0.321257680515598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0928369320512329,-0.225174503196714,0.10784641705434,-1.49420441678404,-0.0752781362896863,-0.426841417484236,-0.00279063356378015,0.140346150094999,-0.0664685933425612,0,0,0,2.08591843227228,0.43659262302968,-1.13295403725621,1.35335555444578,0.390572142034762,-0.505869350140792,0.411761888263211,0.166398580740797,1.56173980346506,0,0,0
1,1,-0.159477192268203,-0.310327972496651,-0.321195385138777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.226768701803953,-0.54750875821183,0.169192641758774,-1.4248331998339,-0.38630908581,-0.463702513846199,-0.013922977265746,0.0154779105860682,-0.0676183627928996,0,0,0,1.96629495470614,0.310188283481043,-1.00540812519652,0.95381553016262,0.233047158019483,-0.886948133007763,0.671821323315014,0.732519153047943,2.26786954887114,0,0,0
2,2,-0.171581758861961,-0.0563909315990198,-0.317563704555511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.478387696902603,-0.63254793056558,0.0980905958228516,-1.35273459044433,-0.494236463246908,-0.323116873957097,0.0503782019496899,0.0223506987637278,-0.0313894189412868,0,0,0,1.79612895988326,0.220826042205448,-0.709977034587782,0.846979349492587,0.2499408247152,-0.917573683676358,1.16117933203991,0.693393109854472,1.87771344034175,0,0,0
3,3,-0.152884221588177,0.0598322222336578,-0.230757025518072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.755895385057255,-0.789310427404447,0.119072955774821,-1.21630433317734,-0.49116374134633,-0.0619627772980357,-0.0729200300874701,0.111617384040816,-0.130162025167152,0,0,0,1.52890202458009,0.186929809796899,-0.502423771938773,0.865392633685776,0.574779209265914,-0.646663046055526,0.523042261572617,0.663160446027664,0.164090816136835,0,0,0
4,4,-0.2273524362568,0.0976859087429437,-0.0886211593682933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.908953340918946,-0.739287907059958,-0.000624280977895464,-1.15510969278388,-0.376530449476605,0.146612052315776,-0.022587657966206,0.0769123171278575,-0.126432172636547,0,0,0,1.21833716792762,0.0432678449788013,-0.248245664611354,0.898210734050553,0.763968051661464,-0.247164523614923,0.167124167824017,0.379884567901118,-0.821832236575665,0,0,0
5,5,-0.181254547469591,0.194135784435938,0.00558559872113629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.06111757321803,-0.605785869723077,-0.106852522448524,-1.17872142360773,-0.27599744367336,0.26513823472612,-0.0317105215687124,0.0580199763713201,-0.154096045362365,0,0,0,0.877081752133168,-0.0664113638040449,0.0955866868448203,1.01661641639318,0.756351602937564,0.199221337744934,0.252753290735856,0.573542414353555,-0.378007936148275,0,0,0
6,6,-0.210986585495412,0.166639662302605,0.130539815662831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.02165463301961,-0.476737572397513,-0.201938982752724,-1.11880264098667,-0.146845449802899,0.154646320425495,-0.104034308765037,0.0400923813024635,-0.137459840711117,0,0,0,0.425399006902815,-0.0424457080787664,0.497185472932743,1.08683942617408,0.636859726906516,0.505206348084521,0.13359395513896,0.899141762896044,0.00560361636277884,0,0,0
7,7,-0.201206386946125,0.13303030450211,0.173343603808661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.891212448664487,-0.456146748550006,-0.252510432475832,-0.988519512286511,-0.160673280107888,-0.099149596964744,0.0160276413341276,0.0163849566418681,0.0056665761952347,0,0,0,-0.0476098647363275,-0.178355370689097,0.732795184508531,1.06507448993471,0.719070067926585,0.580126400207284,-0.103713390273296,0.8189222893947,-0.1747905423199,0,0,0
8,8,-0.183814625313615,0.119350825462324,0.16026802526654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.71823038561477,-0.392664323247931,-0.21894310071853,-0.712759375643256,-0.329923418021956,-0.426039253592054,0.00692641380635994,-0.00246123286840256,-0.0220849292980412,0,0,0,-0.309518846927291,-0.381890028918723,0.827261423299529,1.05799573850853,0.733405291798802,0.419701525451521,-0.18642080091346,0.686567097744907,-0.183421721197748,0,0,0
9,9,-0.251653421118994,0.138602460805998,0.14732559128163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.491184582837319,-0.490138928552288,-0.166060728142626,-0.405212360846747,-0.513772698702195,-0.568656083323191,-0.127709555689046,-0.163488323821824,0.00269556982202418,0,0,0,-0.427646443825218,-0.572600778501499,0.919719842383023,1.12982630145864,0.826228837111444,0.203494624153092,-0.370580215015544,0.357111910121346,-0.529633550792623,0,0,0
