,Frame,T8_Head Lateral Bending,T8_Head Axial Bending,T8_Head Flexion/Extension,T8_LeftUpperArm Lateral Bending,T8_LeftUpperArm Axial Bending,T8_LeftUpperArm Flexion/Extension,T8_RightUpperArm Lateral Bending,T8_RightUpperArm Axial Bending,T8_RightUpperArm Flexion/Extension,Pelvis_T8 Lateral Bending,Pelvis_T8 Axial Bending,Pelvis_T8 Flexion/Extension,Vertical_Pelvis Lateral Bending,Vertical_Pelvis Axial Bending,Vertical_Pelvis Flexion/Extension,Vertical_T8 Lateral Bending,Vertical_T8 Axial Bending,Vertical_T8 Flexion/Extension
0,0,0,0,0,89.9993360489384,-109.374164781272,-109.373621777086,89.9993360505852,70.6258352172765,70.6263782214625,0,0,0,-4.67023103583219,0,-27.4230086201749,-4.67023103583219,0,-27.4230086201749
1,1,0,0,0,89.9995006971418,-101.499698365187,-101.499123597676,89.9995006986017,78.5003016315997,78.5008763991109,0,0,0,-4.66680358783274,0,-27.4128380860046,-4.66680358783274,0,-27.4128380860046
2,2,0,0,0,89.9996786758484,-108.044587614386,-108.044205142132,89.9996786758484,71.9554123819071,71.9557948541609,0,0,0,-4.66549098049765,0,-27.4062441407318,-4.66549098049765,0,-27.4062441407318
3,3,0,0,0,89.9996433228391,-108.959026363318,-108.958910197291,89.9996433238609,71.040973635671,71.0410898016981,0,0,0,-4.66429877064669,0,-27.4048335580938,-4.6642987706467,0,-27.4048335580938
4,4,0,0,0,89.9998169954561,-144.459413930378,-144.459509113808,89.9998169954561,35.5405860659908,35.5404908825608,0,0,0,-4.6663212959497,0,-27.4069923251545,-4.6663212959497,0,-27.4069923251545
5,5,0,0,0,89.999773183658,-167.506017959997,-167.506393922096,89.9997731868717,12.4939820382953,12.4936060761963,0,0,0,-4.67046240347979,0,-27.4144629711985,-4.67046240347979,0,-27.4144629711985
6,6,0,0,0,89.9996959354949,133.157711233315,133.157190649624,89.9996959378922,-46.8422887639712,-46.8428093476624,0,0,0,-4.67714393669472,0,-27.4240998510985,-4.67714393669472,0,-27.4240998510985
7,7,0,0,0,89.9994502320849,116.960102929774,116.959564727094,89.9994502340737,-63.039897068366,-63.0404352710462,0,0,0,-4.68730942680049,0,-27.4335272468269,-4.68730942680049,0,-27.4335272468269
8,8,0,0,0,89.9995103364369,106.576614000143,106.576226680247,89.9995103394142,-73.4233859987721,-73.423773318668,0,0,0,-4.69476332052315,0,-27.439983747496,-4.69476332052315,0,-27.439983747496
9,9,0,0,0,89.9994068970222,92.4098423867239,92.4096398290364,89.9994068976367,-87.5901576105094,-87.5903601681969,0,0,0,-4.70116876071329,0,-27.4427030382007,-4.70116876071329,0,-27.4427030382007
10,10,0,0,0,89.9991198852513,86.4891808347297,86.4893913230513,89.9991198873218,-93.5108191644388,-93.5106086761171,0,0,0,-4.70866312204901,0,-27.4369130944228,-4.70866312204901,0,-27.4369130944228
11,11,0,0,0,89.999237545238,77.4879078435309,77.4884514296851,89.999237545716,-102.512092155781,-102.511548569626,0,0,0,-4.71220535223212,0,-27.4251375066924,-4.71220535223212,0,-27.4251375066924
12,12,0,0,0,89.999217887418,90.2045700938599,90.2057730699331,89.99921788835,-89.7954299040431,-89.7942269279699,0,0,0,-4.71912415373367,0,-27.4004763891512,-4.71912415373367,0,-27.4004763891512
13,13,0,0,0,89.998975418265,99.1129814519202,99.1151523231737,89.9989754193322,-80.887018547914,-80.8848476766606,0,0,0,-4.73060525400836,0,-27.3568031945505,-4.73060525400836,0,-27.3568031945505
14,14,0,0,0,89.9993611114197,140.688333186512,140.692005888193,89.9993611131312,-39.3116668125102,-39.3079941108293,0,0,0,-4.74093543121835,0,-27.2851785228874,-4.74093543121834,0,-27.2851785228874
15,15,0,0,0,89.9987504994247,-154.495960322024,-154.490450238475,89.9987505002998,25.5040396775039,25.5095497610522,0,0,0,-4.75273084982194,0,-27.1799388472652,-4.75273084982194,0,-27.1799388472652
16,16,0,0,0,89.9979639748542,-139.060808737283,-139.053500535693,89.9979639752122,40.9391912626887,40.9464994642793,0,0,0,-4.76304846689736,0,-27.0419381783718,-4.76304846689736,0,-27.0419381783718
17,17,0,0,0,89.9970918747571,-135.29158266849,-135.282677685597,89.9970918747571,44.7084173312847,44.7173223141777,0,0,0,-4.77555574269174,0,-26.8750293764442,-4.77555574269174,0,-26.8750293764442
18,18,0,0,0,89.9962028609284,-131.13814156543,-131.127932441409,89.9962028610243,48.8618584342241,48.872067558245,0,0,0,-4.78749007302199,0,-26.6850286843115,-4.78749007302199,0,-26.6850286843115
19,19,0,0,0,89.9953658169994,-127.240755497324,-127.22956236693,89.995365817314,52.7592445025765,52.7704376329702,0,0,0,-4.79677521917073,0,-26.478047457517,-4.79677521917073,0,-26.478047457517
20,20,0,0,0,89.9945671257286,-124.06135038917,-124.049674407336,89.9945671259298,55.9386496106692,55.9503255925035,0,0,0,-4.80294337957777,0,-26.2637242606187,-4.80294337957777,0,-26.2637242606187
21,21,0,0,0,89.9938492772935,-122.641048692678,-122.628865214443,89.9938492773527,57.3589513071063,57.3711347853413,0,0,0,-4.80821052810575,0,-26.0408474241841,-4.80821052810575,0,-26.0408474241841
22,22,0,0,0,89.9940240973086,-122.056188544398,-122.043675150521,89.9940240973696,57.9438114555125,57.9563248493895,0,0,0,-4.81204780781979,0,-25.8116615725146,-4.8120478078198,0,-25.8116615725146
23,23,0,0,0,89.994140511468,-120.339349013167,-120.326176918878,89.9941405113436,59.6606509867592,59.6738230810491,0,0,0,-4.81187575021613,0,-25.5696770977849,-4.81187575021613,0,-25.5696770977849
24,24,0,0,0,89.9940818414114,-117.541234541073,-117.52750481785,89.9940818415346,62.4587654587515,62.4724951819742,0,0,0,-4.80584571224048,0,-25.3175492285284,-4.80584571224049,0,-25.3175492285284
25,25,0,0,0,89.9940941670104,-117.455991599539,-117.44251990513,89.9940941671338,62.5440084003469,62.5574800947559,0,0,0,-4.80080599209005,0,-25.0710806443595,-4.80080599209005,0,-25.0710806443595
26,26,0,0,0,89.9943269349461,-117.401764020927,-117.389027600164,89.9943269350746,62.5982359789595,62.6109723997227,0,0,0,-4.79661510532509,0,-24.8386582473926,-4.79661510532508,0,-24.8386582473926
27,27,0,0,0,89.9944530922788,-119.312640530859,-119.30139790659,89.9944530925416,60.6873594689295,60.6986020931986,0,0,0,-4.79803172837175,0,-24.6349546374087,-4.79803172837175,0,-24.6349546374087
28,28,0,0,0,89.9951465166882,-127.107497355494,-127.097032687279,89.9951465169135,52.8925026444246,52.902967312639,0,0,0,-4.81327744891826,0,-24.4436814219771,-4.81327744891826,0,-24.4436814219771
29,29,0,0,0,89.9959243929407,-142.739065879648,-142.728046875996,89.9959243928513,37.2609341202802,37.2719531239329,0,0,0,-4.84672240185087,0,-24.238342324938,-4.84672240185088,0,-24.238342324938
30,30,0,0,0,89.9963210071316,-159.536786523703,-159.524907198331,89.9963210072307,20.4632134761803,20.4750928015517,0,0,0,-4.89341954697786,0,-24.0145684906073,-4.89341954697786,0,-24.0145684906073
31,31,0,0,0,89.9966353090391,-176.561369143195,-176.548159706955,89.9966353094724,3.43863085679755,3.45184029303745,0,0,0,-4.94634734923617,0,-23.763425740695,-4.94634734923618,0,-23.763425740695
32,32,0,0,0,89.9965216981876,156.990986922612,157.005868771192,89.9965216981876,-23.0090130772437,-22.9941312286632,0,0,0,-5.00816761162144,0,-23.4776955430721,-5.00816761162144,0,-23.4776955430721
33,33,0,0,0,89.9958320670716,123.827125453225,123.844044296209,89.9958320675963,-56.1728745465892,-56.1559557036054,0,0,0,-5.06828513023769,0,-23.1494900790125,-5.06828513023769,0,-23.1494900790125
34,34,0,0,0,89.9931490959656,102.273475723037,102.293581595436,89.9931490961252,-77.7265242768042,-77.7064184044052,0,0,0,-5.13562962039764,0,-22.7542210223254,-5.13562962039764,0,-22.7542210223254
35,35,0,0,0,89.9889206880302,94.6045424009035,94.6288161648422,89.9889206881289,-85.3954575990648,-85.3711838351261,0,0,0,-5.22301455866395,0,-22.2714186347277,-5.22301455866394,0,-22.2714186347277
36,36,0,0,0,89.9859171794461,88.4063005993578,88.4322145848087,89.9859171794461,-91.5936994005775,-91.5677854151266,0,0,0,-5.30494435085278,0,-21.754680259433,-5.30494435085279,0,-21.754680259433
37,37,0,0,0,89.98318298875,83.9812888141078,84.0104409317454,89.9831829888151,-96.018711185828,-95.9895590681904,0,0,0,-5.37520014567891,0,-21.1701509280316,-5.37520014567891,0,-21.1701509280316
38,38,0,0,0,89.9806135249613,78.5609426723272,78.5943580377541,89.9806135249801,-101.4390573276,-101.405641962173,0,0,0,-5.41496209341805,0,-20.4996689287952,-5.41496209341805,0,-20.4996689287952
39,39,0,0,0,89.9791500374406,68.6244607515134,68.6633814586034,89.9791500374931,-111.37553924844,-111.33661854135,0,0,0,-5.37593754649728,0,-19.7232484728996,-5.37593754649727,0,-19.7232484728996
40,40,0,0,0,89.9785585388397,57.109427417481,57.1589619610217,89.9785585388907,-122.890572582472,-122.841038038931,0,0,0,-5.23844233666054,0,-18.744051436349,-5.23844233666053,0,-18.744051436349
41,41,0,0,0,89.978293945391,46.4658788682761,46.5294941547379,89.9782939454078,-133.534121131669,-133.470505845207,0,0,0,-5.01218561578597,0,-17.4996628196781,-5.01218561578597,0,-17.4996628196781
42,42,0,0,0,89.9764639552495,37.3112851780605,37.3868760153814,89.9764639553269,-142.688714821922,-142.613123984601,0,0,0,-4.69694212532347,0,-16.0338365738072,-4.69694212532347,0,-16.0338365738072
43,43,0,0,0,89.9757215522207,31.6063080326397,31.6855167102518,89.9757215522507,-148.393691967339,-148.314483289727,0,0,0,-4.33526369061053,0,-14.5110132766415,-4.33526369061053,0,-14.5110132766415
44,44,0,0,0,89.9809281785866,19.1896105244024,19.2500058833346,89.9809281786822,-160.810389475598,-160.749994116666,0,0,0,-4.0032710864941,0,-13.3771154664891,-4.0032710864941,0,-13.3771154664891
45,45,0,0,0,89.9852192770277,1.74429787584615,1.78966968952993,89.985219277077,-178.255702124147,-178.210330310463,0,0,0,-3.71329925156205,0,-12.5318180328919,-3.71329925156205,0,-12.5318180328919
46,46,0,0,0,89.9871419424084,-9.58952351634627,-9.54976942455083,89.9871419424651,170.410476483637,170.450230575432,0,0,0,-3.45507670176967,0,-11.7862825868959,-3.45507670176967,0,-11.7862825868959
47,47,0,0,0,89.9882545874584,-12.8189519687823,-12.7835130636553,89.9882545875515,167.181048031223,167.21648693635,0,0,0,-3.22069119386657,0,-11.1213012449403,-3.22069119386657,0,-11.1213012449403
48,48,0,0,0,89.9888617454315,-8.47278545273196,-8.43932862439881,89.988861745497,171.527214547249,171.560671375582,0,0,0,-2.99949509601271,0,-10.4901714952487,-2.99949509601271,0,-10.4901714952487
49,49,0,0,0,89.9893643034391,-8.48737851457741,-8.45350828195346,89.9893643035419,171.512621485402,171.546491718026,0,0,0,-2.78896421079472,0,-9.84854486999355,-2.78896421079472,0,-9.84854486999355
50,50,0,0,0,89.9898289405018,-4.09042148890533,-4.05566518623682,89.9898289406093,175.909578511089,175.944334813757,0,0,0,-2.58921928252488,0,-9.18862059848912,-2.58921928252488,0,-9.18862059848912
51,51,0,0,0,89.990575372916,-0.252579938035879,-0.214703182632158,89.990575372916,179.747420061966,179.785296817369,0,0,0,-2.40597555491228,0,-8.46653000295724,-2.40597555491228,0,-8.46653000295724
52,52,0,0,0,89.9907481373089,7.67031269295378,7.71260172900855,89.9907481373483,-172.329687307046,-172.287398270991,0,0,0,-2.23091290766235,0,-7.6582825612076,-2.23091290766235,0,-7.6582825612076
53,53,0,0,0,89.9909474492522,11.7358301031781,11.7803193646476,89.9909474492925,-168.264169896803,-168.219680635334,0,0,0,-2.06332216122965,0,-6.81004498580523,-2.06332216122965,0,-6.81004498580523
54,54,0,0,0,89.9912994069418,10.9465572676575,10.9935175912501,89.9912994069418,-169.053442732341,-169.006482408749,0,0,0,-1.90137987176903,0,-5.91478230220492,-1.90137987176902,0,-5.91478230220492
55,55,0,0,0,89.9922266176835,9.35183159056436,9.40063521337058,89.9922266177773,-170.648168409415,-170.599364786609,0,0,0,-1.75595168425127,0,-4.98538883250492,-1.75595168425127,0,-4.98538883250492
56,56,0,0,0,89.9928689274873,5.61597152118944,5.66521307210374,89.9928689275384,-174.384028478836,-174.334786927922,0,0,0,-1.62051026186625,0,-4.04939306653413,-1.62051026186625,0,-4.04939306653412
57,57,0,0,0,89.9934225534256,-8.73090711445796,-8.68213371021472,89.9934225535364,171.269092885526,171.31786628977,0,0,0,-1.49468642729105,0,-3.12407137306137,-1.49468642729105,0,-3.12407137306137
58,58,0,0,0,89.993332683814,-24.7613869274295,-24.7124739115525,89.9933326838687,155.238613072518,155.287526088395,0,0,0,-1.37643235193042,0,-2.19625138594327,-1.37643235193042,0,-2.19625138594327
59,59,0,0,0,89.9926080046414,-34.6205959737585,-34.5691299374137,89.9926080045921,145.379404026208,145.430870062553,0,0,0,-1.25768465896511,0,-1.21796932549196,-1.25768465896511,0,-1.21796932549196
60,60,0,0,0,89.9914406358083,-36.8705024327612,-36.8168116660326,89.9914406358935,143.129497567221,143.183188333949,0,0,0,-1.12528362400938,0,-0.197888470007612,-1.12528362400938,0,-0.197888470007612
61,61,0,0,0,89.9902341560861,-35.912041122349,-35.8569839576622,89.9902341562354,144.087958877605,144.143016042291,0,0,0,-0.974607615456477,0,0.847384939989567,-0.974607615456477,0,0.847384939989567
62,62,0,0,0,89.9886602728083,-29.721402830945,-29.6664103638615,89.9886602729047,150.278597169,150.333589636083,0,0,0,-0.788434110662823,0,1.89041540339112,-0.788434110662823,0,1.89041540339112
63,63,0,0,0,89.985922356779,-25.6730456502232,-25.6173742313211,89.9859223568825,154.326954349766,154.382625768668,0,0,0,-0.549887614664735,0,2.94742354412256,-0.549887614664735,0,2.94742354412256
64,64,0,0,0,89.9837432012033,-23.535620446874,-23.4780654627208,89.9837432012033,156.464379553094,156.521934537247,0,0,0,-0.272440841178506,0,4.04193767814817,-0.272440841178506,0,4.04193767814817
65,65,0,0,0,89.9826692208451,-22.2136921619506,-22.1528754489109,89.9826692208451,157.786307838031,157.84712455107,0,0,0,0.023360329270461,0,5.20044407968232,0.0233603292704673,0,5.20044407968232
66,66,0,0,0,89.9838929717347,-19.7819922787225,-19.717144809032,89.9838929718252,160.218007721262,160.282855190952,0,0,0,0.300426645375291,0,6.43686202464013,0.300426645375291,0,6.43686202464013
67,67,0,0,0,89.9871784303416,-19.2528650904276,-19.1855644035205,89.98717843037,160.747134909519,160.814435596426,0,0,0,0.518726853478734,0,7.71855998172982,0.51872685347874,0,7.71855998172982
68,68,0,0,0,89.9900888993798,-18.6089851011498,-18.5422917665161,89.9900888993798,161.391014898802,161.457708233436,0,0,0,0.687813251369038,0,8.98567630693682,0.687813251369038,0,8.98567630693682
69,69,0,0,0,89.9922030154855,-15.94408995474,-15.8818833476888,89.9922030156725,164.055910045231,164.118116652282,0,0,0,0.824317359491276,0,10.1635356467425,0.82431735949127,0,10.1635356467425
70,70,0,0,0,89.9935882354574,-10.832694181236,-10.7765122544184,89.9935882355711,169.167305818728,169.223487745545,0,0,0,0.941729224947815,0,11.2251797093973,0.941729224947809,0,11.2251797093973
71,71,0,0,0,89.9947587338592,-2.41880224001226,-2.36720667256441,89.9947587340678,177.581197759952,177.632793327399,0,0,0,1.04300314757139,0,12.2008186036781,1.04300314757139,0,12.2008186036781
72,72,0,0,0,89.9953280378791,2.38995791639228,2.43869417779963,89.9953280379571,-177.610042083644,-177.561305822237,0,0,0,1.13599741007894,0,13.1237026962605,1.13599741007894,0,13.1237026962605
73,73,0,0,0,89.9951974900742,-12.9097665539998,-12.8630249611547,89.995197490226,167.090233445963,167.136975038808,0,0,0,1.22416175621852,0,14.0100544114378,1.22416175621852,0,14.0100544114378
74,74,0,0,0,89.994439989369,-28.8877151006237,-28.8419035866051,89.9944399895001,151.112284899244,151.158096413262,0,0,0,1.30828102778585,0,14.8804919573533,1.30828102778585,0,14.8804919573533
75,75,0,0,0,89.9934562407594,-36.0147015859163,-35.970223532034,89.9934562409264,143.98529841399,144.029776467873,0,0,0,1.39445437690824,0,15.7257564929972,1.39445437690824,0,15.7257564929972
76,76,0,0,0,89.9927088084468,-41.1646593986213,-41.1226547346824,89.9927088084968,138.835340601351,138.87734526529,0,0,0,1.47813366775473,0,16.5234294156677,1.47813366775473,0,16.5234294156677
77,77,0,0,0,89.9918011204056,-40.3702228295966,-40.3319617484637,89.9918011204056,139.629777170304,139.668038251437,0,0,0,1.57270193459455,0,17.2490885900581,1.57270193459455,0,17.2490885900581
78,78,0,0,0,89.9913614782422,-40.3468832360656,-40.3112139132,89.9913614783688,139.653116763857,139.688786086722,0,0,0,1.67047943201414,0,17.9269573682289,1.67047943201413,0,17.9269573682289
79,79,0,0,0,89.9918209088413,-43.6055894107321,-43.5714554094238,89.9918209088413,136.394410589167,136.428544590475,0,0,0,1.75341861366692,0,18.5768811059528,1.75341861366692,0,18.5768811059528
80,80,0,0,0,89.9929626338472,-44.7996849623354,-44.7665612511104,89.9929626339508,135.200315037516,135.233438748741,0,0,0,1.82211346310139,0,19.2078326009215,1.82211346310139,0,19.2078326009215
81,81,0,0,0,89.9920001183765,-51.2428061847695,-51.2111159722649,89.9920001186043,128.757193815201,128.788884027705,0,0,0,1.8817843075308,0,19.8120693523704,1.88178430753079,0,19.8120693523704
82,82,0,0,0,89.9942757599944,-56.2212077904556,-56.1905402298488,89.994275760058,123.778792209465,123.809459770071,0,0,0,1.91497086542442,0,20.3963559118501,1.91497086542443,0,20.3963559118501
83,83,0,0,0,89.9949758589467,-61.0166160717261,-60.9866943403684,89.9949758592369,118.983383928222,119.01330565958,0,0,0,1.93633585468648,0,20.9665954427987,1.93633585468648,0,20.9665954427987
84,84,0,0,0,89.995439119125,-62.7987892706743,-62.7689681829628,89.9954391193648,117.201210729386,117.231031817097,0,0,0,1.95327200392528,0,21.535372910378,1.95327200392528,0,21.535372910378
85,85,0,0,0,89.995763225636,-59.623935852898,-59.5945879728922,89.9957632259801,120.37606414694,120.405412026945,0,0,0,1.97407612371414,0,22.0945480439164,1.97407612371413,0,22.0945480439164
86,86,0,0,0,89.9956207459501,-50.6858844050866,-50.657945776346,89.9956207461166,129.314115594714,129.342054223455,0,0,0,2.0086596662269,0,22.6258806275087,2.0086596662269,0,22.6258806275087
87,87,0,0,0,89.9951343865351,-38.4014924695813,-38.3761073333718,89.9951343866849,141.598507530249,141.623892666458,0,0,0,2.0653120545261,0,23.1073696835703,2.0653120545261,0,23.1073696835703
88,88,0,0,0,89.994844172708,-25.9813339844285,-25.9582912770544,89.9948441728494,154.0186660155,154.041708722874,0,0,0,2.14294189799767,0,23.544092738428,2.14294189799766,0,23.544092738428
89,89,0,0,0,89.9945262554646,-15.5521551957335,-15.5310213402167,89.9945262555312,164.447844804223,164.46897865974,0,0,0,2.23859740985034,0,23.9444707096393,2.23859740985035,0,23.9444707096393
90,90,0,0,0,89.9942605925308,-7.12880913914374,-7.10870249592703,89.9942605925308,172.871190860826,172.891297504042,0,0,0,2.34834552865632,0,24.3256757444349,2.34834552865632,0,24.3256757444349
91,91,0,0,0,89.9941079440795,1.25760231733478,1.27750977390861,89.9941079440795,-178.742397682696,-178.722490226122,0,0,0,2.46921810064365,0,24.7032455080578,2.46921810064364,0,24.7032455080578
92,92,0,0,0,89.9944707794059,8.92322806015462,8.94339920185387,89.9944707796037,-171.076771939924,-171.056600798224,0,0,0,2.58832091653593,0,25.0856363143971,2.58832091653593,0,25.0856363143971
93,93,0,0,0,89.9949417797163,14.4855247732464,14.505748560248,89.9949417797884,-165.514475226752,-165.49425143975,0,0,0,2.70071329148776,0,25.468403460403,2.70071329148776,0,25.468403460403
94,94,0,0,0,89.9953345733021,17.6073472855187,17.6265282805637,89.9953345735365,-162.392652714469,-162.373471719425,0,0,0,2.80606735809282,0,25.8300845489082,2.80606735809281,0,25.8300845489082
95,95,0,0,0,89.9959222031316,17.708157270269,17.726219845836,89.9959222031316,-162.291842729681,-162.273780154114,0,0,0,2.89901392851181,0,26.170566399507,2.8990139285118,0,26.170566399507
96,96,0,0,0,89.9965203152305,11.6356477692486,11.6523747133007,89.9965203155447,-168.364352230826,-168.347625286774,0,0,0,2.9776484090616,0,26.4859699839273,2.9776484090616,0,26.4859699839273
97,97,0,0,0,89.9967807620355,-0.351126628886187,-0.335721363171928,89.9967807620355,179.648873371145,179.66427863686,0,0,0,3.04575791024733,0,26.7770026545625,3.04575791024733,0,26.7770026545625
98,98,0,0,0,89.996878525552,-9.96249700975664,-9.94816028991989,89.9968785256687,170.03750299026,170.051839710097,0,0,0,3.10595924114483,0,27.0485186718199,3.10595924114483,0,27.0485186718199
99,99,0,0,0,89.9968447003596,-19.4777873520157,-19.4641959142227,89.9968447003596,160.522212647847,160.53580408564,0,0,0,3.15910036592751,0,27.3067456518286,3.15910036592751,0,27.3067456518286
100,100,0,0,0,89.9944447642592,-43.8749689131914,-43.8621388549331,89.9944447643905,136.125031086733,136.137861144992,0,0,0,3.20387670517797,0,27.5535942760735,3.20387670517797,0,27.5535942760735
101,101,0,0,0,89.9969703752235,-38.9760055827428,-38.9631486479713,89.9969703754641,141.023994417066,141.036851351838,0,0,0,3.23623336030245,0,27.7994419110121,3.23623336030245,0,27.7994419110121
102,102,0,0,0,89.997398103416,-46.8255986621656,-46.8127194793982,89.997398103416,133.174401337431,133.187280520199,0,0,0,3.25776313268343,0,28.0458169995411,3.25776313268345,0,28.0458169995411
103,103,0,0,0,89.9972764731753,-56.5702753457754,-56.5572588341216,89.997276473443,123.429724653895,123.442741165549,0,0,0,3.270252876646,0,28.295346541097,3.27025287664599,0,28.295346541097
104,104,0,0,0,89.9971719668445,-62.9639502537302,-62.9507252634013,89.9971719672311,117.036049745896,117.049274736225,0,0,0,3.27624766684268,0,28.5491660910656,3.27624766684268,0,28.5491660910656
105,105,0,0,0,89.9966561248029,-66.7177978467139,-66.704899208798,89.9966561251299,113.282202152997,113.295100790913,0,0,0,3.27689091038118,0,28.7968806970962,3.27689091038117,0,28.7968806970962
106,106,0,0,0,89.9960677338875,-65.5116245715947,-65.4991506818698,89.9960677340729,114.488375428485,114.50084931821,0,0,0,3.27787289703574,0,29.036988847736,3.27787289703573,0,29.036988847736
107,107,0,0,0,89.9952692596393,-62.0503983720632,-62.0383188235978,89.9952692597163,117.949601627834,117.961681176299,0,0,0,3.28336284237808,0,29.2703084783605,3.28336284237807,0,29.2703084783605
108,108,0,0,0,89.9943173133293,-55.1869286762453,-55.1750790462622,89.9943173132651,124.813071323695,124.824920953678,0,0,0,3.30321143316128,0,29.4999706195625,3.30321143316127,0,29.4999706195625
109,109,0,0,0,89.9930550866,-50.0537298367519,-50.0425818782316,89.9930550867575,129.946270163108,129.957418121628,0,0,0,3.33835261124781,0,29.7166237479389,3.3383526112478,0,29.7166237479389
110,110,0,0,0,89.9920603263815,-45.0134814567441,-45.0022454340648,89.9920603262897,134.986518543226,134.997754565905,0,0,0,3.39212587152822,0,29.9361082627655,3.39212587152821,0,29.9361082627655
111,111,0,0,0,89.9912278379,-41.324355651243,-41.3124988751219,89.9912278380247,138.675644348762,138.687501124883,0,0,0,3.4624378929928,0,30.1681936266878,3.4624378929928,0,30.1681936266878
112,112,0,0,0,89.9905775941609,-38.157891986385,-38.1452349929495,89.9905775942769,141.842108013542,141.854765006977,0,0,0,3.54815891442545,0,30.4157895408132,3.54815891442545,0,30.4157895408132
113,113,0,0,0,89.9904051514709,-35.8776037026255,-35.8641207684236,89.9904051515089,144.12239629735,144.135879231552,0,0,0,3.64296076019994,0,30.6789726897952,3.64296076019994,0,30.6789726897952
114,114,0,0,0,89.9904156364001,-34.4695750603192,-34.4553849548164,89.9904156365522,145.530424939573,145.544615045076,0,0,0,3.7423917169729,0,30.9553549266491,3.7423917169729,0,30.9553549266491
