,Frame,Pelvis x,Pelvis y,Pelvis z,L5 x,L5 y,L5 z,L3 x,L3 y,L3 z,T12 x,T12 y,T12 z,T8 x,T8 y,T8 z,Neck x,Neck y,Neck z,Head x,Head y,Head z,Right Shoulder x,Right Shoulder y,Right Shoulder z,Right Upper Arm x,Right Upper Arm y,Right Upper Arm z,Right Forearm x,Right Forearm y,Right Forearm z,Right Hand x,Right Hand y,Right Hand z,Left Shoulder x,Left Shoulder y,Left Shoulder z,Left Upper Arm x,Left Upper Arm y,Left Upper Arm z,Left Forearm x,Left Forearm y,Left Forearm z,Left Hand x,Left Hand y,Left Hand z,Right Upper Leg x,Right Upper Leg y,Right Upper Leg z,Right Lower Leg x,Right Lower Leg y,Right Lower Leg z,Right Foot x,Right Foot y,Right Foot z,Right Toe x,Right Toe y,Right Toe z,Left Upper Leg x,Left Upper Leg y,Left Upper Leg z,Left Lower Leg x,Left Lower Leg y,Left Lower Leg z,Left Foot x,Left Foot y,Left Foot z,Left Toe x,Left Toe y,Left Toe z
0,0,-0.00435010328285866,-0.0313023124553236,-0.0074690493089259,-0.00435010328285866,-0.0313023124553236,-0.0074690493089259,-0.00435010328285866,-0.0313023124553236,-0.0074690493089259,-0.00435010328285866,-0.0313023124553236,-0.0074690493089259,-0.00435010328285866,-0.0313023124553236,-0.0074690493089259,-0.00435010328285866,-0.0313023124553236,-0.0074690493089259,-0.00435010328285866,-0.0313023124553236,-0.0074690493089259,-0.00435010328285866,-0.0313023124553236,-0.0074690493089259,-0.00435010328285866,-0.0313023124553236,-0.0074690493089259,-0.00435010328285866,-0.0313023124553236,-0.0074690493089259,-0.00435010328285866,-0.0313023124553236,-0.0074690493089259,-0.00435010328285866,-0.0313023124553236,-0.0074690493089259,-0.00435010328285866,-0.0313023124553236,-0.0074690493089259,-0.00435010328285866,-0.0313023124553236,-0.0074690493089259,-0.00435010328285866,-0.0313023124553236,-0.0074690493089259,0.0039578594585633,0.00781145537048038,0.0069693377358943,0.00425459294231748,0.00422445790265917,0.0105248721625226,-0.00658738952328727,-0.00822305577395409,-0.00748001397308175,-0.00658738952328727,-0.00822305577395409,-0.00748001397308175,0.0143988444193964,-0.0055453612525001,-0.000585485335951666,0.0027261504177233,0.0097469589022089,0.0216785283485257,-0.00466486910347516,-0.00612990681670636,0.00218452925395495,-0.00466486910347516,-0.00612990681670636,0.00218452925395495
1,1,-0.00493426994990549,-0.0315612709886987,-0.0103392781464478,-0.00493426994990549,-0.0315612709886987,-0.0103392781464478,-0.00493426994990549,-0.0315612709886987,-0.0103392781464478,-0.00493426994990549,-0.0315612709886987,-0.0103392781464478,-0.00493426994990549,-0.0315612709886987,-0.0103392781464478,-0.00493426994990549,-0.0315612709886987,-0.0103392781464478,-0.00493426994990549,-0.0315612709886987,-0.0103392781464478,-0.00493426994990549,-0.0315612709886987,-0.0103392781464478,-0.00493426994990549,-0.0315612709886987,-0.0103392781464478,-0.00493426994990549,-0.0315612709886987,-0.0103392781464478,-0.00493426994990549,-0.0315612709886987,-0.0103392781464478,-0.00493426994990549,-0.0315612709886987,-0.0103392781464478,-0.00493426994990549,-0.0315612709886987,-0.0103392781464478,-0.00493426994990549,-0.0315612709886987,-0.0103392781464478,-0.00493426994990549,-0.0315612709886987,-0.0103392781464478,0.00135836483771484,0.0126552962297503,0.00836824683964683,0.00545296254349322,0.0049927945466081,0.0166957954942099,-0.00193641546745542,-0.00853081000605611,-0.00701880036072033,-0.00193641546745542,-0.00853081000605611,-0.00701880036072033,0.0155340189721871,-0.000943945665334456,0.000436386934710107,0.00148948668366492,0.0149929834568709,0.0253853617771065,-0.00615052551887016,-0.00443191408822578,0.00221580038098324,-0.00615052551887016,-0.00443191408822578,0.00221580038098324
2,2,-0.00303316612882186,-0.0237198662952916,-0.00455872702317571,-0.00303316612882186,-0.0237198662952916,-0.00455872702317571,-0.00303316612882186,-0.0237198662952916,-0.00455872702317571,-0.00303316612882186,-0.0237198662952916,-0.00455872702317571,-0.00303316612882186,-0.0237198662952916,-0.00455872702317571,-0.00303316612882186,-0.0237198662952916,-0.00455872702317571,-0.00303316612882186,-0.0237198662952916,-0.00455872702317571,-0.00303316612882186,-0.0237198662952916,-0.00455872702317571,-0.00303316612882186,-0.0237198662952916,-0.00455872702317571,-0.00303316612882186,-0.0237198662952916,-0.00455872702317571,-0.00303316612882186,-0.0237198662952916,-0.00455872702317571,-0.00303316612882186,-0.0237198662952916,-0.00455872702317571,-0.00303316612882186,-0.0237198662952916,-0.00455872702317571,-0.00303316612882186,-0.0237198662952916,-0.00455872702317571,-0.00303316612882186,-0.0237198662952916,-0.00455872702317571,0.00583085125683276,0.00744718643421027,0.0136679886709211,0.00441450244829251,0.00378201677663694,0.0291908054504272,-0.00452737050257206,-0.0110668816931163,-0.00562149451692898,-0.00452737050257206,-0.0110668816931163,-0.00562149451692898,0.0143989305318844,-0.00554533843528452,-0.000587462639396491,0.00266632675012406,0.011350539853425,0.013995713384858,-0.0018228256562048,-0.00540688461999514,0.00415715977883104,-0.0018228256562048,-0.00540688461999514,0.00415715977883104
3,3,-0.00555736310873101,-0.0147058541827961,-0.00618902913757781,-0.00555736310873101,-0.0147058541827961,-0.00618902913757781,-0.00555736310873101,-0.0147058541827961,-0.00618902913757781,-0.00555736310873101,-0.0147058541827961,-0.00618902913757781,-0.00555736310873101,-0.0147058541827961,-0.00618902913757781,-0.00555736310873101,-0.0147058541827961,-0.00618902913757781,-0.00555736310873101,-0.0147058541827961,-0.00618902913757781,-0.00555736310873101,-0.0147058541827961,-0.00618902913757781,-0.00555736310873101,-0.0147058541827961,-0.00618902913757781,-0.00555736310873101,-0.0147058541827961,-0.00618902913757781,-0.00555736310873101,-0.0147058541827961,-0.00618902913757781,-0.00555736310873101,-0.0147058541827961,-0.00618902913757781,-0.00555736310873101,-0.0147058541827961,-0.00618902913757781,-0.00555736310873101,-0.0147058541827961,-0.00618902913757781,-0.00555736310873101,-0.0147058541827961,-0.00618902913757781,0.00857034506954258,0.00688496255519224,0.0139426553190284,0.0103877055064242,-0.00324863194365682,0.0400423440432215,-0.00290317707266858,-0.00752338783121451,-0.00612777648314488,-0.00290317707266858,-0.00752338783121451,-0.00612777648314488,0.0129189074296169,0.00102594947097569,0.00143547703302665,0.00191721597136458,0.000885293182313722,0.0101351427318409,-0.00410296704044916,-0.00566587012542875,0.0047271177595176,-0.00410296704044916,-0.00566587012542875,0.0047271177595176
4,4,-0.0017211373406364,-0.00758598533968095,0.00186835227744209,-0.0017211373406364,-0.00758598533968095,0.00186835227744209,-0.0017211373406364,-0.00758598533968095,0.00186835227744209,-0.0017211373406364,-0.00758598533968095,0.00186835227744209,-0.0017211373406364,-0.00758598533968095,0.00186835227744209,-0.0017211373406364,-0.00758598533968095,0.00186835227744209,-0.0017211373406364,-0.00758598533968095,0.00186835227744209,-0.0017211373406364,-0.00758598533968095,0.00186835227744209,-0.0017211373406364,-0.00758598533968095,0.00186835227744209,-0.0017211373406364,-0.00758598533968095,0.00186835227744209,-0.0017211373406364,-0.00758598533968095,0.00186835227744209,-0.0017211373406364,-0.00758598533968095,0.00186835227744209,-0.0017211373406364,-0.00758598533968095,0.00186835227744209,-0.0017211373406364,-0.00758598533968095,0.00186835227744209,-0.0017211373406364,-0.00758598533968095,0.00186835227744209,0.0113362832963475,0.00685989484413497,0.0156489933187948,0.0128509300369582,0.00448200285949538,0.0514338112662325,0.000967386128402172,-0.0115484851220404,-0.00969668976144259,0.000967386128402172,-0.0115484851220404,-0.00969668976144259,0.00819993968463197,0.00158509698612388,-0.000314760958018852,0.00660815759101606,-0.000155856628195734,0.00112495874530349,-0.00298910654744738,-0.00496177113362313,-0.000246504191637955,-0.00298910654744738,-0.00496177113362313,-0.000246504191637955
5,5,-0.00115994649118529,0.00249298700821151,0.00213488084710795,-0.00115994649118529,0.00249298700821151,0.00213488084710795,-0.00115994649118529,0.00249298700821151,0.00213488084710795,-0.00115994649118529,0.00249298700821151,0.00213488084710795,-0.00115994649118529,0.00249298700821151,0.00213488084710795,-0.00115994649118529,0.00249298700821151,0.00213488084710795,-0.00115994649118529,0.00249298700821151,0.00213488084710795,-0.00115994649118529,0.00249298700821151,0.00213488084710795,-0.00115994649118529,0.00249298700821151,0.00213488084710795,-0.00115994649118529,0.00249298700821151,0.00213488084710795,-0.00115994649118529,0.00249298700821151,0.00213488084710795,-0.00115994649118529,0.00249298700821151,0.00213488084710795,-0.00115994649118529,0.00249298700821151,0.00213488084710795,-0.00115994649118529,0.00249298700821151,0.00213488084710795,-0.00115994649118529,0.00249298700821151,0.00213488084710795,0.00759737898691007,0.00493794924101737,0.0146455043434944,0.0119767715248734,0.00612932832797384,0.0619521038531317,-0.00287068074678757,-0.0165341213791858,-0.00883145989319973,-0.00287068074678757,-0.0165341213791858,-0.00883145989319973,-0.0118654272709107,0.00279046509799839,0.000897664253720794,0.00257928205762768,-0.00899666218641706,-0.00686108755853773,0.00443870313003774,-0.0134513489143838,-0.000401911027233822,0.00443870313003774,-0.0134513489143838,-0.000401911027233822
6,6,0.00191570495040417,0.00657465975199666,0.0118968218435874,0.00191570495040417,0.00657465975199666,0.0118968218435874,0.00191570495040417,0.00657465975199666,0.0118968218435874,0.00191570495040417,0.00657465975199666,0.0118968218435874,0.00191570495040417,0.00657465975199666,0.0118968218435874,0.00191570495040417,0.00657465975199666,0.0118968218435874,0.00191570495040417,0.00657465975199666,0.0118968218435874,0.00191570495040417,0.00657465975199666,0.0118968218435874,0.00191570495040417,0.00657465975199666,0.0118968218435874,0.00191570495040417,0.00657465975199666,0.0118968218435874,0.00191570495040417,0.00657465975199666,0.0118968218435874,0.00191570495040417,0.00657465975199666,0.0118968218435874,0.00191570495040417,0.00657465975199666,0.0118968218435874,0.00191570495040417,0.00657465975199666,0.0118968218435874,0.00191570495040417,0.00657465975199666,0.0118968218435874,0.0198375775022886,0.0137339989612571,0.0198211714888391,0.0136862178796498,0.00595105758112082,0.0621157706289331,-0.0039919914671362,-0.0198154436605248,-0.00572211315448967,-0.0039919914671362,-0.0198154436605248,-0.00572211315448967,-0.0218996483828001,0.000281454918747791,0.000550253073560457,0.00444744014277283,-0.00589137247251,-0.0058333071739955,0.00824654251084211,-0.0162632658539384,-0.00168154604514709,0.00824654251084211,-0.0162632658539384,-0.00168154604514709
7,7,0.00750185430174788,0.00718315603119439,0.0189275098592507,0.00750185430174788,0.00718315603119439,0.0189275098592507,0.00750185430174788,0.00718315603119439,0.0189275098592507,0.00750185430174788,0.00718315603119439,0.0189275098592507,0.00750185430174788,0.00718315603119439,0.0189275098592507,0.00750185430174788,0.00718315603119439,0.0189275098592507,0.00750185430174788,0.00718315603119439,0.0189275098592507,0.00750185430174788,0.00718315603119439,0.0189275098592507,0.00750185430174788,0.00718315603119439,0.0189275098592507,0.00750185430174788,0.00718315603119439,0.0189275098592507,0.00750185430174788,0.00718315603119439,0.0189275098592507,0.00750185430174788,0.00718315603119439,0.0189275098592507,0.00750185430174788,0.00718315603119439,0.0189275098592507,0.00750185430174788,0.00718315603119439,0.0189275098592507,0.00750185430174788,0.00718315603119439,0.0189275098592507,0.0311823441675795,0.0248445022038045,0.0175972541354439,0.0156828256642286,0.000631487369739623,0.0383164716826581,-0.0074523388989149,-0.0237079119122675,-0.0058942658172413,-0.0074523388989149,-0.0237079119122675,-0.0058942658172413,-0.028076075733794,-0.000677197460365517,0.00492730894732128,0.00194628354906886,0.00274465067681363,0.00585640555226582,0.0110687835114021,-0.0238981198449946,-2.07157029359964e-05,0.0110687835114021,-0.0238981198449946,-2.07157029359964e-05
8,8,0.00385468240388988,0.000315305740076488,0.0185221181709944,0.00385468240388988,0.000315305740076488,0.0185221181709944,0.00385468240388988,0.000315305740076488,0.0185221181709944,0.00385468240388988,0.000315305740076488,0.0185221181709944,0.00385468240388988,0.000315305740076488,0.0185221181709944,0.00385468240388988,0.000315305740076488,0.0185221181709944,0.00385468240388988,0.000315305740076488,0.0185221181709944,0.00385468240388988,0.000315305740076488,0.0185221181709944,0.00385468240388988,0.000315305740076488,0.0185221181709944,0.00385468240388988,0.000315305740076488,0.0185221181709944,0.00385468240388988,0.000315305740076488,0.0185221181709944,0.00385468240388988,0.000315305740076488,0.0185221181709944,0.00385468240388988,0.000315305740076488,0.0185221181709944,0.00385468240388988,0.000315305740076488,0.0185221181709944,0.00385468240388988,0.000315305740076488,0.0185221181709944,0.0511736256433382,0.0455145889513599,0.0267009775755343,0.0157371766103724,-0.00249144730443975,0.0171214393479043,-0.0107854574603403,-0.0284336004709742,-0.00242462386382912,-0.0107854574603403,-0.0284336004709742,-0.00242462386382912,-0.0320959341054068,-0.0037980723249661,0.00282525289318581,0.00991668067581738,7.41627629590739e-05,0.000975192324241895,0.00671917384607399,-0.0312801082825523,-0.00227013903686194,0.00671917384607399,-0.0312801082825523,-0.00227013903686194
9,9,0.00425301533165511,-0.00647683089993022,0.0241998916251137,0.00425301533165511,-0.00647683089993022,0.0241998916251137,0.00425301533165511,-0.00647683089993022,0.0241998916251137,0.00425301533165511,-0.00647683089993022,0.0241998916251137,0.00425301533165511,-0.00647683089993022,0.0241998916251137,0.00425301533165511,-0.00647683089993022,0.0241998916251137,0.00425301533165511,-0.00647683089993022,0.0241998916251137,0.00425301533165511,-0.00647683089993022,0.0241998916251137,0.00425301533165511,-0.00647683089993022,0.0241998916251137,0.00425301533165511,-0.00647683089993022,0.0241998916251137,0.00425301533165511,-0.00647683089993022,0.0241998916251137,0.00425301533165511,-0.00647683089993022,0.0241998916251137,0.00425301533165511,-0.00647683089993022,0.0241998916251137,0.00425301533165511,-0.00647683089993022,0.0241998916251137,0.00425301533165511,-0.00647683089993022,0.0241998916251137,0.0869323967482157,0.0688878362430804,0.0400775000432552,0.0148389749708422,-0.0544570675914777,0.0297253197669727,-0.0182005757250036,-0.0364810356265271,-0.00537363709627786,-0.0182005757250036,-0.0364810356265271,-0.00537363709627786,-0.0327949120494636,-0.000120635337741359,0.0031833648424359,0.0188890546715138,-0.0067626777368713,-0.0220990906701554,0.00809542619241302,-0.0385897704226914,-0.00125557826790355,0.00809542619241302,-0.0385897704226914,-0.00125557826790355
