,Frame,Pelvis x,Pelvis y,Pelvis z,L5 x,L5 y,L5 z,L3 x,L3 y,L3 z,T12 x,T12 y,T12 z,T8 x,T8 y,T8 z,Neck x,Neck y,Neck z,Head x,Head y,Head z,Right Shoulder x,Right Shoulder y,Right Shoulder z,Right Upper Arm x,Right Upper Arm y,Right Upper Arm z,Right Forearm x,Right Forearm y,Right Forearm z,Right Hand x,Right Hand y,Right Hand z,Left Shoulder x,Left Shoulder y,Left Shoulder z,Left Upper Arm x,Left Upper Arm y,Left Upper Arm z,Left Forearm x,Left Forearm y,Left Forearm z,Left Hand x,Left Hand y,Left Hand z,Right Upper Leg x,Right Upper Leg y,Right Upper Leg z,Right Lower Leg x,Right Lower Leg y,Right Lower Leg z,Right Foot x,Right Foot y,Right Foot z,Right Toe x,Right Toe y,Right Toe z,Left Upper Leg x,Left Upper Leg y,Left Upper Leg z,Left Lower Leg x,Left Lower Leg y,Left Lower Leg z,Left Foot x,Left Foot y,Left Foot z,Left Toe x,Left Toe y,Left Toe z
0,0,8.27056759396798,0.567647486185629,0.573702994029963,8.32189901777664,0.573389868801215,0.650095491392267,8.36892668481438,0.577199720870328,0.739631296579786,8.41972096422891,0.582778594838554,0.816617620001662,8.47046624266132,0.588353347587822,0.893512691609982,8.53060330475538,0.59322523098926,1.00800742663231,8.5533984671395,0.59214341713541,1.09085878196442,8.49807536944769,0.618563996009149,0.959749579429508,8.46944531005602,0.747330673013722,0.969308028618294,8.40793942907976,1.02394548960903,0.989841780701184,8.35770784821897,1.2498555864413,1.00661160517578,8.51029472617867,0.563606021830271,0.955670026145153,8.53892462366489,0.434839392961377,0.946111674755454,8.60043050464114,0.158224576366073,0.925577922672563,8.65066208550193,-0.0676855204661969,0.908808098197968,8.25435918203753,0.639633680807882,0.579268861169288,7.88021721057227,0.663981861639285,0.458709690597547,7.89992031668526,0.669495416042204,0.0757333168770295,7.76372445172736,0.662015924423246,0.0147194287959127,8.28689989766034,0.49564346166738,0.568318669365572,7.90896659544248,0.504625648584852,0.457886329339859,7.9340967625937,0.565419085127403,0.0797186181855251,7.80372314221745,0.593817083756524,0.0141955270165722
1,1,8.27059610011521,0.567662249119555,0.573718118402891,8.32191434977515,0.573396420162135,0.650120083141193,8.3689260815219,0.577198873969624,0.73966457081962,8.41970704913464,0.582769631189597,0.816660263181738,8.4704390319656,0.588336274912343,0.893564694684414,8.53055571665963,0.59319869771863,1.00807053252191,8.55333535327936,0.592113549726308,1.09092611434359,8.4980410125952,0.618542666833062,0.959806501879075,8.4694310128004,0.747314250138768,0.969358832355929,8.4079690720294,1.02393979277815,0.989879654109727,8.35777337693982,1.24985864952315,1.00663891844176,8.51025181045421,0.563582596558333,0.955729560524553,8.53886165966912,0.434811051448316,0.946177330151139,8.60032360044013,0.158185508808938,0.925656508397342,8.65051929552971,-0.06773334793607,0.908897244065307,8.25438412669016,0.639653382612253,0.579276951954256,7.88024506664121,0.663985413908239,0.45870548630272,7.89991558731637,0.669519581861465,0.0757277555659089,7.76371745356783,0.662045366740888,0.0147182855057044,8.28693890701729,0.495644735474461,0.568329651504353,7.9089996036391,0.504628264700558,0.457917960568415,7.93409817259045,0.565407885822832,0.0797347398750933,7.80371399901349,0.593802412687293,0.0142153081069956
2,2,8.27062824428552,0.567678117951662,0.573737586833325,8.32193822965265,0.573405872937351,0.65014558318205,8.36893995200299,0.57720226384071,0.73969558241482,8.41971256804453,0.582766658973166,0.816697242248362,8.47043620947914,0.588326946906411,0.893607635478139,8.53054009456538,0.593181616718235,1.00812052126648,8.55330995914011,0.59209315699704,1.09097874567652,8.49803382399685,0.61852964944015,0.959852943995419,8.46943701741511,0.747304314224633,0.969403160654307,8.40800415200435,1.0239366828197,0.989919028226269,8.35783220263285,1.24986111429251,1.00667424649992,8.51023900061884,0.563568263743138,0.955776903557061,8.53883570364974,0.434793636515717,0.946226779839688,8.60026856906049,0.158161267920654,0.925710912267726,8.650440518432,-0.0677631635521591,0.908955693994075,8.25440675590099,0.639684579673342,0.579290181957509,7.88027386829107,0.663974819195211,0.458691139659112,7.89991437653768,0.669533122811535,0.0757238718284402,7.76371562594552,0.662060699583155,0.014715559333254,8.28698056131099,0.495649505169984,0.568342228891027,7.90903917408988,0.504637413974539,0.457938027651296,7.93409831527414,0.565389503989614,0.0797514888593479,7.80370285290414,0.593781041019869,0.0142351213941618
3,3,8.27065286615553,0.567698705031976,0.573760847171905,8.32196135978808,0.573421205652572,0.650170238933546,8.36896098471797,0.577213011005136,0.739721533279282,8.41973207255332,0.58277222302474,0.816724575113667,8.47045418789088,0.58832733264693,0.893636348996573,8.53055539088141,0.593176138643468,1.00815089092254,8.55332276400577,0.59208591692093,1.0910097767907,8.49805353093776,0.618527501556167,0.959882092476391,8.46947190020496,0.747305705181965,0.969429988646458,8.40807140018232,1.02394562771246,0.989940887910321,8.35792588348009,1.24987622845092,1.00669204858873,8.51025224280336,0.563564607434583,0.955807039303181,8.53883382703539,0.434786450380417,0.946259221600499,8.60023432705803,0.158146527849921,0.925748322336636,8.65037984376025,-0.0677840728885385,0.908997161658228,8.25441394749449,0.639719414497089,0.579309171135752,7.8802880623588,0.663964155520632,0.458679253889656,7.89991211379993,0.669550989484873,0.0757191443763956,7.76371054708658,0.662082038119441,0.0147166939697731,8.28701209569311,0.495665442244155,0.568349846375567,7.90906219418278,0.504650571764521,0.457974569585373,7.93409979206869,0.565376756572156,0.0797727450812636,7.80369358185385,0.59376295114008,0.0142588097358613
4,4,8.27067432754993,0.567714505815887,0.573786109201593,8.32198648758666,0.57343295069909,0.650193342511414,8.36899026933785,0.577220634471645,0.739742629516415,8.4197650420722,0.582775804266333,0.81674353335747,8.4704908380608,0.588326875915753,0.8936531713355,8.53059735662484,0.593170411403917,1.00816514635603,8.55336835476927,0.592077372729251,1.09102299896918,8.49809457384678,0.618524340649249,0.959898317288141,8.46951958636479,0.7473037177016,0.969450153813695,8.40813421062839,1.02394641813831,0.989968854311228,8.35800104586381,1.24987928758048,1.00672638622266,8.51029046111026,0.563560944539044,0.955821580645413,8.53886545502151,0.434781609285917,0.946269812735418,8.60025083075791,0.15813890884921,0.925751112237886,8.65038399552249,-0.0677939605929622,0.908993580326456,8.25441766900594,0.639746470090627,0.57933046762696,7.88029847841744,0.66393935436479,0.458669380632993,7.89990887247663,0.669561662074029,0.0757151810547838,7.76370667945641,0.662103403168178,0.0147128208065227,8.28703495910304,0.49567686364459,0.568349043787533,7.90907508457232,0.504662598126723,0.458007971873131,7.93409881969232,0.56535656233015,0.0797972877067077,7.80368154648032,0.593744903967003,0.0142861683553377
5,5,8.27068449512641,0.567733653771669,0.573815415029162,8.32200775396542,0.573447899970036,0.650215507791584,8.36902443133391,0.577231169041395,0.739758211429226,8.4198103811111,0.582782143602403,0.816752046485451,8.47054734099056,0.588329024558781,0.893654622533926,8.53067034994393,0.593166914707156,1.00815817901285,8.553453103123,0.592070589734815,1.09101275679125,8.49816167240713,0.618523499664638,0.959896715205108,8.46959302928679,0.747303695736744,0.969456358316389,8.40822131496862,1.02394821540697,0.989991390515005,8.35809930742386,1.24988257060911,1.00676226045445,8.51035486070704,0.563559752134226,0.955816644585498,8.53892355146352,0.43477958917799,0.946257059292545,8.6002952657817,0.158135069507762,0.925722027093928,8.65041727332646,-0.0677992856943759,0.908951157154484,8.25441698474262,0.639775793908779,0.579361013831558,7.88030671589819,0.663911979045494,0.458660915891015,7.89990395028326,0.669575686910314,0.0757153896394149,7.76370423771287,0.662124599348416,0.0147066152280942,8.28703624953019,0.495700774267849,0.568345718063001,7.90906446273377,0.504666949667399,0.458043866694584,7.93409350339026,0.565333564950119,0.0798277853756328,7.80367214728757,0.5937288251013,0.014311435240525
6,6,8.27068377478225,0.567751952020541,0.573842331392027,8.32202117919541,0.57346438145469,0.650233055564913,8.36905458224047,0.577244860805898,0.739767092803578,8.41985479798156,0.582793957414496,0.816751651368908,8.47060600679066,0.588338963207756,0.89364495994784,8.53075040385688,0.593173285975807,1.0081374341893,8.55354886491858,0.592073337770881,1.09098764310192,8.49823133456278,0.618531014058064,0.959883572545738,8.46965803011665,0.747309219175548,0.969456019876888,8.40827747447243,1.02394977480101,0.990018011545089,8.35814824625582,1.24988089258533,1.00681089916406,8.51042651474891,0.56356811458386,0.955798034468398,8.53899988134029,0.434789935471446,0.946225631528935,8.60038043698451,0.158149379845983,0.925663639860734,8.65050966520112,-0.0677817379383349,0.908870752241761,8.25441514838877,0.639803585566293,0.579385324445922,7.88030336497968,0.663878985300028,0.458677781298054,7.8998962423001,0.669590840629508,0.0757205674614419,7.7637012446476,0.662142003753749,0.0147009934796768,8.28702304051764,0.495730558405273,0.568343317855077,7.909041545629,0.504667316012058,0.4580723506157,7.9340844201051,0.565304190611868,0.0798603678579645,7.80366113668306,0.593710543710443,0.0143361640193544
7,7,8.2706761689461,0.567770401111724,0.573856100487183,8.32202807975388,0.573480664265194,0.650237235806617,8.36907884228129,0.577256996073957,0.739762326781367,8.41989370264299,0.582803794919999,0.81673738533279,8.47065953840965,0.588346507046457,0.893621203202624,8.53082613407373,0.593175526106432,1.00810223732675,8.5536412222205,0.592069202432039,1.09094778416232,8.49829435527596,0.61853461106864,0.959857656461166,8.46970718396983,0.747308250691253,0.969450041267266,8.40829790186166,1.02393930294842,0.990054073090573,8.35814521286904,1.24986265937389,1.00688129471821,8.51049545074772,0.563573657680486,0.955763608132302,8.53908267187624,0.43480003310462,0.946171261672642,8.60049195398441,0.158168980847458,0.925567229849335,8.65064464297703,-0.0677543755780166,0.908740008221694,8.25441006828811,0.639818928023119,0.579385952390999,7.8802842502073,0.663859110961753,0.458714894633554,7.89988454880873,0.669611861579712,0.0757319185369895,7.76369662986527,0.662163396656779,0.0146965020198249,8.28700781517653,0.495769603549771,0.568342184822289,7.90901762869411,0.504653644774657,0.458096753782352,7.93406957391172,0.56527501473047,0.0798894572203888,7.80365153281002,0.59369157346324,0.014350012480288
8,8,8.27066250195526,0.567788424447891,0.573846889694891,8.32202425446236,0.57349881027707,0.650221398234449,8.36908692001541,0.577273630319345,0.739740296211738,8.41991172481166,0.582820434802747,0.816708788645064,8.47068749291175,0.588363153972193,0.89358604683694,8.53086930967942,0.593190239846855,1.00805916160856,8.55369599285024,0.592079905564145,1.09090146072502,8.49832766476854,0.618549234846144,0.959821187730258,8.46972557505319,0.747318480905311,0.969428236913579,8.40828445106857,1.02394007616013,0.990064284294432,8.35810575695632,1.24985570909364,1.00691765288627,8.51053511918184,0.563590159883374,0.955720883381941,8.53913721996414,0.434820943933079,0.946113887300337,8.60057834394877,0.158199348678259,0.925477839919483,8.65075703806102,-0.0677162842552451,0.908624471327647,8.2544062483497,0.639825508426287,0.579345736500399,7.88024087806807,0.663831985088401,0.458790657424733,7.89986834115911,0.669637303921349,0.0757534047207003,7.76369064634358,0.662182448879663,0.0146959601597206,8.28698854533629,0.495802141562585,0.568334771695179,7.90899277556691,0.504636182785614,0.458104466956396,7.93405036498078,0.565246262156273,0.0799127777233241,7.80364666569848,0.593672327176783,0.0143496610033855
9,9,8.27061520883439,0.56780145576646,0.573801443704231,8.32198137622692,0.573514547416875,0.650172780688568,8.36904973464963,0.577290207205771,0.739688650113645,8.41987902559678,0.582839572368428,0.816653995419925,8.4706592740881,0.588384851171,0.893528109627555,8.53084837066525,0.593213010879385,1.00799735161016,8.55368113950203,0.592099775425914,1.09083793468254,8.49829879675214,0.618570278284943,0.959763819367937,8.4696745172037,0.747333642956245,0.969383717337543,8.40818655828076,1.02394275554636,0.990047571501793,8.35796961428162,1.24984819394283,1.0069236497706,8.51051571311826,0.5636137150377,0.955658034385755,8.53913996489403,0.434850388043982,0.946038205189319,8.60062792381696,0.158241275453868,0.925374351025069,8.6508448678161,-0.067664162942601,0.908498272756263,8.2543528707542,0.639829383097365,0.579242239541476,7.88011716327267,0.663792111723217,0.458896964547953,7.8998493189002,0.66966397499751,0.0757887046446899,7.7636865474898,0.662202214391441,0.014698830068146,8.28694727612275,0.495815930758987,0.568299343308163,7.90894154000468,0.504605436954432,0.458099659218989,7.93402436688708,0.565217892656865,0.0799260904342256,7.80364326717354,0.593652232196127,0.0143326837158717
