,Frame,T8_Head Lateral Bending,T8_Head Axial Bending,T8_Head Flexion/Extension,T8_LeftUpperArm Lateral Bending,T8_LeftUpperArm Axial Bending,T8_LeftUpperArm Flexion/Extension,T8_RightUpperArm Lateral Bending,T8_RightUpperArm Axial Bending,T8_RightUpperArm Flexion/Extension,Pelvis_T8 Lateral Bending,Pelvis_T8 Axial Bending,Pelvis_T8 Flexion/Extension,Vertical_Pelvis Lateral Bending,Vertical_Pelvis Axial Bending,Vertical_Pelvis Flexion/Extension,Vertical_T8 Lateral Bending,Vertical_T8 Axial Bending,Vertical_T8 Flexion/Extension
0,0,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.3201942718897,0.152226434453136,6.62011850635923,-1.3034453280312,0.151213558641869,0.303378184539216
1,1,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.44524627778715,0.166391626779063,6.60975038184438,-1.42693880858182,0.165287811887475,0.293014365146807
2,2,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,-1.57496509789602,0.180971284847585,6.59649540384986,-1.55505350969174,0.179775356817339,0.279764218303041
3,3,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,-1.70222566198734,0.195219358396946,6.58352275235662,-1.68074644092728,0.193934136278123,0.266796680099828
4,4,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.81994062547032,0.208428312007564,6.57402377333187,-1.79700809851428,0.207059930388418,0.257302787416003
5,5,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,-1.9210661628511,0.219924832315974,6.57122654979481,-1.89686873135426,0.218482154011265,0.254510261402074
6,6,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,-2.00223897394163,0.229433656469675,6.57723850326614,-1.97699531883787,0.227925952138385,0.26052628996453
7,7,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-2.06827937726296,0.237466428460625,6.59003034894711,-2.04215188655342,0.235900103630885,0.273321711686613
8,8,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-2.12442258487428,0.244531295798555,6.60666893261928,-2.09751774097104,0.242910557525202,0.289963541500174
9,9,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-2.17584218173565,0.251116796779979,6.62419149876825,-2.14821272078824,0.249443959808358,0.307489218847491
10,10,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-2.22764346908497,0.257696073133326,6.63958925692514,-2.1992900773043,0.255971787378912,0.32289016791508
11,11,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,-2.27941641135818,0.264307187836048,6.65516495873682,-2.25033558129626,0.26253075985469,0.338469159038674
12,12,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-2.32777853327524,0.270641849355221,6.67301933355174,-2.29800067052024,0.268813565651219,0.356326763243401
13,13,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-2.37328266214688,0.276629438453214,6.68980830023362,-2.34284595220651,0.274751787073905,0.373118852544685
14,14,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,-2.41642577129688,0.282182926618731,6.70218937630793,-2.38537798806497,0.280260870577632,0.385502886254087
15,15,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-2.45765709410276,0.2872010297946,6.70682157709837,-2.42605717050477,0.285242238237795,0.390137811010096
16,16,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-2.49944561942222,0.29191607590985,6.70279836080746,-2.46732693219456,0.28992738133379,0.386117199210526
17,17,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,-2.54139158412084,0.296363258837502,6.69240661248118,-2.50878362972024,0.294350181380714,0.375727947374809
18,18,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-2.57963257327318,0.300145252381294,6.67713444521711,-2.54660855782481,0.298115287688247,0.360457934014909
19,19,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,-2.61033312864135,0.302878924027657,6.65851178031559,-2.5770084052389,0.300841302118105,0.341836844330156
20,20,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-2.62968300396894,0.304195897808784,6.63809672887427,-2.59621344884922,0.302161341544449,0.321422558845751
21,21,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-2.63875736029372,0.304240793301215,6.6161153944901,-2.60528293511534,0.302218779309543,0.299441254265066
22,22,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,-2.64010720538414,0.303275000043076,6.59162747449713,-2.60673911316841,0.301273666454768,0.274952778818234
23,23,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,-2.63215645399221,0.301119123418822,6.56444698394637,-2.59902563348598,0.299147733923001,0.247771049998384
24,24,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,-2.61333435783844,0.297599391100268,6.534376293366,-2.58059086443818,0.295668230233073,0.217698354231997
25,25,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-2.58207633225183,0.292548645065235,6.50120091561514,-2.54988860983868,0.290668897109035,0.184520138392101
26,26,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-2.53855326531097,0.286075581062243,6.46634361644955,-2.50707779297867,0.284256574873407,0.149659271393368
27,27,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-2.48386777642431,0.278334139600268,6.42989428820296,-2.45324409434904,0.27658383959609,0.113205779818053
28,28,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,-2.41785975686543,0.269238491012102,6.38961268465933,-2.38823684892363,0.267566215983116,0.0729194296931667
29,29,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-2.34037650512259,0.258717572780272,6.34324798311072,-2.31191117104752,0.257133680039267,0.0265494337773091
30,30,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-2.25127733931324,0.246720388534422,6.28854351589597,-2.22413198371368,0.245235862219528,-0.028160813824705
31,31,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-2.15413959457177,0.23364070534976,6.22371077036315,-2.1284332893322,0.232263968739761,-0.0929995491118274
32,32,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-2.04920276005564,0.219629862391557,6.1500730009455,-2.02503791893849,0.218366743268829,-0.166643373662098
33,33,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,-1.93131758809294,0.204301229952009,6.07001732204367,-1.90883916370476,0.20315767633337,-0.246705249833896
34,34,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,-1.79531080652288,0.187282168553653,5.9858953423222,-1.77470476011105,0.186264132228027,-0.330833587093298
35,35,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.63597764471125,0.168212106330669,5.90002046241887,-1.61746962780041,0.167325472844774,-0.416714936267102
36,36,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.44527003179979,0.146420152962732,5.81338009710006,-1.42915953556899,0.145672746171298,-0.503361846675845
37,37,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,-1.22680438826257,0.122374511512964,5.72394178216829,-1.21333940992447,0.121770866601685,-0.592806333231418
