,Frame,Pelvis x,Pelvis y,Pelvis z,L5 x,L5 y,L5 z,L3 x,L3 y,L3 z,T12 x,T12 y,T12 z,T8 x,T8 y,T8 z,Neck x,Neck y,Neck z,Head x,Head y,Head z,Right Shoulder x,Right Shoulder y,Right Shoulder z,Right Upper Arm x,Right Upper Arm y,Right Upper Arm z,Right Forearm x,Right Forearm y,Right Forearm z,Right Hand x,Right Hand y,Right Hand z,Left Shoulder x,Left Shoulder y,Left Shoulder z,Left Upper Arm x,Left Upper Arm y,Left Upper Arm z,Left Forearm x,Left Forearm y,Left Forearm z,Left Hand x,Left Hand y,Left Hand z,Right Upper Leg x,Right Upper Leg y,Right Upper Leg z,Right Lower Leg x,Right Lower Leg y,Right Lower Leg z,Right Foot x,Right Foot y,Right Foot z,Right Toe x,Right Toe y,Right Toe z,Left Upper Leg x,Left Upper Leg y,Left Upper Leg z,Left Lower Leg x,Left Lower Leg y,Left Lower Leg z,Left Foot x,Left Foot y,Left Foot z,Left Toe x,Left Toe y,Left Toe z
0,479,0.384033203125,-0.816162109375,-0.28564453125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7373046875,0.121826171875,-0.32666015625,0.459228515625,0.594970703125,0.5537109375,0.4931640625,0.880126953125,-0.50927734375,0,0,0,-0.315673828125,-0.017333984375,0.869873046875,0.655517578125,0.388916015625,0.679443359375,0.482177734375,0.823486328125,-0.18896484375,0,0,0
1,480,0.3828125,-0.818115234375,-0.289794921875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.736328125,0.12109375,-0.333251953125,0.45947265625,0.59228515625,0.547119140625,0.492919921875,0.87939453125,-0.514404296875,0,0,0,-0.313232421875,-0.008544921875,0.8662109375,0.658203125,0.38525390625,0.6689453125,0.475341796875,0.822021484375,-0.20068359375,0,0,0
2,481,0.3837890625,-0.81787109375,-0.285888671875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73974609375,0.1220703125,-0.326416015625,0.46142578125,0.59423828125,0.554931640625,0.4931640625,0.87890625,-0.509033203125,0,0,0,-0.30712890625,-0.000732421875,0.8720703125,0.663330078125,0.39013671875,0.673828125,0.473388671875,0.8251953125,-0.1962890625,0,0,0
3,482,0.385009765625,-0.815185546875,-0.283203125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.740966796875,0.127685546875,-0.32177734375,0.460205078125,0.597412109375,0.55712890625,0.49853515625,0.884033203125,-0.50634765625,0,0,0,-0.301025390625,0.01171875,0.877197265625,0.664306640625,0.397705078125,0.67431640625,0.4716796875,0.830078125,-0.194091796875,0,0,0
4,483,0.3759765625,-0.81591796875,-0.292724609375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73193359375,0.1279296875,-0.331298828125,0.4521484375,0.5947265625,0.548828125,0.485595703125,0.88232421875,-0.517333984375,0,0,0,-0.307373046875,0.019775390625,0.869384765625,0.659912109375,0.399658203125,0.660888671875,0.471923828125,0.81884765625,-0.23779296875,0,0,0
5,484,0.38134765625,-0.8193359375,-0.293701171875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7421875,0.1259765625,-0.328125,0.46044921875,0.59423828125,0.550537109375,0.4951171875,0.8818359375,-0.51318359375,0,0,0,-0.293212890625,0.028564453125,0.8720703125,0.6669921875,0.401123046875,0.6640625,0.46484375,0.8212890625,-0.24853515625,0,0,0
6,485,0.378662109375,-0.820556640625,-0.29296875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.739501953125,0.127685546875,-0.32861328125,0.457763671875,0.597412109375,0.55224609375,0.494384765625,0.880126953125,-0.514404296875,0,0,0,-0.290771484375,0.035400390625,0.873291015625,0.661865234375,0.402587890625,0.66162109375,0.468017578125,0.8251953125,-0.22265625,0,0,0
7,486,0.37646484375,-0.820068359375,-0.2880859375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.736328125,0.13232421875,-0.32421875,0.453125,0.59716796875,0.558349609375,0.494384765625,0.880126953125,-0.5107421875,0,0,0,-0.2880859375,0.044189453125,0.87744140625,0.657958984375,0.403564453125,0.669921875,0.48291015625,0.815673828125,-0.233642578125,0,0,0
8,487,0.37353515625,-0.824951171875,-0.2880859375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73681640625,0.12646484375,-0.32421875,0.45068359375,0.59423828125,0.552734375,0.491943359375,0.878173828125,-0.5146484375,0,0,0,-0.291748046875,0.0478515625,0.8759765625,0.655029296875,0.39990234375,0.67236328125,0.476806640625,0.809814453125,-0.247314453125,0,0,0
9,488,0.373779296875,-0.8193359375,-0.2880859375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.737060546875,0.1328125,-0.326171875,0.450927734375,0.599853515625,0.5546875,0.4931640625,0.88232421875,-0.514404296875,0,0,0,-0.287353515625,0.061767578125,0.87646484375,0.658203125,0.4013671875,0.674072265625,0.481689453125,0.813232421875,-0.248779296875,0,0,0
