,Frame,Pelvis x,Pelvis y,Pelvis z,L5 x,L5 y,L5 z,L3 x,L3 y,L3 z,T12 x,T12 y,T12 z,T8 x,T8 y,T8 z,Neck x,Neck y,Neck z,Head x,Head y,Head z,Right Shoulder x,Right Shoulder y,Right Shoulder z,Right Upper Arm x,Right Upper Arm y,Right Upper Arm z,Right Forearm x,Right Forearm y,Right Forearm z,Right Hand x,Right Hand y,Right Hand z,Left Shoulder x,Left Shoulder y,Left Shoulder z,Left Upper Arm x,Left Upper Arm y,Left Upper Arm z,Left Forearm x,Left Forearm y,Left Forearm z,Left Hand x,Left Hand y,Left Hand z,Right Upper Leg x,Right Upper Leg y,Right Upper Leg z,Right Lower Leg x,Right Lower Leg y,Right Lower Leg z,Right Foot x,Right Foot y,Right Foot z,Right Toe x,Right Toe y,Right Toe z,Left Upper Leg x,Left Upper Leg y,Left Upper Leg z,Left Lower Leg x,Left Lower Leg y,Left Lower Leg z,Left Foot x,Left Foot y,Left Foot z,Left Toe x,Left Toe y,Left Toe z
0,313,19.5082947627799,-77.7946450322343,24.0700750633103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-134.196885419748,-74.9403393294124,-120.288560439092,-139.422663361004,-68.9545959981471,-7.40485539436947,-11.6376532947059,26.9277067417976,16.3479760145208,0,0,0,144.144361568168,-62.6811666440931,178.557383122447,174.021191867957,-62.6791420106096,34.8106035261845,-10.8420273411076,28.4699812340124,28.7388595441716,0,0,0
1,314,18.9808613051793,-77.6649451606262,24.6991852274004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-133.890909710705,-74.904166987902,-120.123618199094,-139.188161296464,-68.9686430194389,-7.37017326756997,-11.6321618335491,26.9273295774887,16.353404900012,0,0,0,143.454253136487,-62.1025020355637,179.133726655058,173.995282785727,-61.7177923815195,34.9503544903145,-11.0787164443878,29.3188359373858,28.6625132830971,0,0,0
2,315,18.5295010004801,-77.5526292927982,25.2162447290179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-133.595957531135,-74.8524126839266,-119.939310757963,-138.961909664453,-68.9884852297637,-7.34935236932747,-11.6347048131836,26.9268690197019,16.3557878441081,0,0,0,142.862041434818,-61.5589263225137,179.660988930476,174.025579194003,-60.8052719305598,35.0761385128645,-11.3054349886056,30.1130310993561,28.5916050880299,0,0,0
3,316,18.1691102121389,-77.465282255664,25.6237892007595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-133.351943393817,-74.8091305563237,-119.743065881327,-138.743031055246,-69.0122181747097,-7.36953705964875,-11.6423122104952,26.9249047059837,16.3542653713513,0,0,0,142.329613759024,-61.0722050496983,-179.860788539613,174.109907339857,-59.9512232055935,35.1847095351242,-11.5082316397185,30.8549468327913,28.5348187413895,0,0,0
4,317,17.9186689674317,-77.4062094498184,25.9123807874898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-133.221972732456,-74.7898574570014,-119.553736324986,-138.541609197862,-69.044989172912,-7.43292615430206,-11.6513210399585,26.9190613470242,16.3510761291308,0,0,0,141.834381098292,-60.6542008945542,-179.441557025211,174.225231708384,-59.1657772408607,35.274857852618,-11.6853032584988,31.5408554311752,28.4958579955949,0,0,0
5,318,17.7627649095406,-77.3760154040655,26.1089606826796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-133.236135446703,-74.7932851159769,-119.381556822654,-138.359399540797,-69.083703215709,-7.52893764078988,-11.6595901639134,26.9160251504116,16.3476810457712,0,0,0,141.378834363843,-60.3188105157988,-179.101892781474,174.34942360142,-58.4582035306244,35.3534403229695,-11.8365766660665,32.1557297259856,28.4782811972818,0,0,0
6,319,17.6879644733373,-77.3606366671108,26.2248117543415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-133.347028255085,-74.8138601281201,-119.253583182505,-138.191508891691,-69.1260479019331,-7.66188495814961,-11.6635347197754,26.9116867499818,16.3483981497829,0,0,0,140.972753556598,-60.0817536550226,-178.852988739611,174.466746198852,-57.8440456840843,35.4360088868094,-11.9591548835885,32.6819683677375,28.4898195962133,0,0,0
7,320,17.6522521986422,-77.3448881562642,26.2944457052578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-133.4872935089,-74.8460075012411,-119.188730520664,-138.04619579598,-69.1777601405503,-7.81455986269436,-11.6633496204186,26.9124135664143,16.3504097866635,0,0,0,140.624769435436,-59.9479374355261,-178.68015843145,174.574601837857,-57.332936440137,35.5049232654859,-12.0472770960781,33.1015731756716,28.5299979442607,0,0,0
8,321,17.621348218711,-77.3293043582801,26.3407923981336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-133.610640315323,-74.8920765880842,-119.206876621452,-137.905033343284,-69.2350764839502,-7.98639205635565,-11.6583117064815,26.9128075297789,16.3551461073804,0,0,0,140.317968093449,-59.9078841860164,-178.561793716902,174.662989933067,-56.9416349224127,35.5592158441488,-12.0950981074086,33.399755168727,28.5864550656845,0,0,0
9,322,17.6172732108212,-77.3202463998127,26.3450332936635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-133.719553585173,-74.9442880630925,-119.276014435591,-137.770092126811,-69.2954308410738,-8.16980324287602,-11.6475464655337,26.9133602048036,16.3627684699157,0,0,0,140.053717609955,-59.9394037452276,-178.496118058227,174.727219251157,-56.6833875925027,35.5939466320224,-12.1034683268801,33.5716105359662,28.6490389835471,0,0,0
10,323,17.6080323563111,-77.3110435382299,26.3258256887494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-133.817074452388,-75.0057064157622,-119.36080846603,-137.641302917077,-69.3589263954658,-8.3563737049533,-11.6350627416772,26.9193411652979,16.3723801042708,0,0,0,139.859176720797,-60.0134470460909,-178.500765133627,174.767209963351,-56.5742046343217,35.6028144413516,-12.0749224396389,33.5983463597543,28.7172128098341,0,0,0
11,324,17.5721834866975,-77.3055257439535,26.2944132441703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-133.910314089927,-75.0792265941351,-119.444408557822,-137.512870819256,-69.4249845047317,-8.55311659110573,-11.6201349236052,26.922932297816,16.3825207732389,0,0,0,139.790905996291,-60.1099458754395,-178.599251954501,174.782225252826,-56.6207893752343,35.5780030732231,-12.006012687533,33.4738024481137,28.790361622601,0,0,0
12,325,17.4969857249044,-77.31629678665,26.2620399229607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-133.994335008402,-75.1642744751784,-119.524778765126,-137.389366721233,-69.49207068593,-8.75871107544439,-11.6020528966091,26.931386229066,16.3946511362753,0,0,0,139.87992258656,-60.2403319359345,-178.782350056159,174.766058405815,-56.8292088889308,35.5199203133701,-11.8945751706352,33.1900123915635,28.854224084949,0,0,0
13,326,17.3568512469158,-77.3424343218127,26.2555098841948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-134.074369659259,-75.2550431203421,-119.593751482533,-137.270810068139,-69.5603537197286,-8.97476253491301,-11.5781313958735,26.9397066913817,16.4088142076797,0,0,0,140.122388782612,-60.4152929523739,-179.040822867468,174.722605101865,-57.2021683760583,35.4361869564626,-11.7430448213436,32.7484486824978,28.8979642721897,0,0,0
14,327,17.1805778000156,-77.3836258750074,26.2516289860596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-134.147587781122,-75.3503680271836,-119.648557349247,-137.157672543011,-69.6309033178081,-9.19351860293527,-11.5652127937381,26.9469437653543,16.4178944500898,0,0,0,140.516093087619,-60.6514485531068,-179.369971863553,174.669033665992,-57.7425955636449,35.3093722401053,-11.5587821348444,32.1516873759481,28.9095323326783,0,0,0
15,328,16.9617035514063,-77.433155707919,26.2623508997165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-134.271228632286,-75.4479559188701,-119.64721307529,-137.045445877806,-69.6980415570716,-9.40629430843128,-11.5459768720005,26.948835037061,16.4280307229896,0,0,0,141.081781332499,-60.9569093379613,-179.797395220759,174.587945387859,-58.4459552217305,35.1374277610488,-11.3391870482238,31.4049081092461,28.8897889975603,0,0,0
16,329,16.7082044469744,-77.4972541781956,26.2859398533535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-134.440331253443,-75.5490612463729,-119.610269382425,-136.942638238331,-69.7638784749622,-9.59835510370142,-11.5297109136021,26.9521451773631,16.4390234797855,0,0,0,141.883706873007,-61.3225570526429,179.612011857037,174.484502346983,-59.3029111880009,34.9224572067674,-11.086024662472,30.5266041979588,28.8396410898607,0,0,0
17,330,16.4568519112158,-77.579669993756,26.2876345138376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-134.621469327311,-75.6542925771282,-119.562465185383,-136.857753612772,-69.8226366561533,-9.76566500384056,-11.5094639471033,26.9522090791949,16.4496859855224,0,0,0,142.946536433182,-61.7354515122757,178.813681100516,174.347087236346,-60.2973901280854,34.6789182211913,-10.8197401568359,29.5340172370173,28.7314538776189,0,0,0
18,331,16.1989717003146,-77.6883023512693,26.2727142952629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-134.82459051531,-75.7493122566174,-119.416089893984,-136.823846751996,-69.8710065492929,-9.87396695399995,-11.4862186725251,26.9580870416436,16.4674699004336,0,0,0,144.290965780428,-62.1974663986307,177.765185409739,174.16327109489,-61.423744990081,34.4286722089077,-10.5483244024049,28.4339670791049,28.5636037710007,0,0,0
19,332,15.9518249808761,-77.8176114936463,26.2287837012909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-134.946227892065,-75.8396200356105,-119.368844147602,-136.802109062243,-69.9124585500893,-9.96323085096305,-11.4645352645103,26.9599995400231,16.4810204506482,0,0,0,145.864189356288,-62.7103922892785,176.516691462932,173.978436267339,-62.643419186073,34.113389615721,-10.2726518618487,27.2461045389184,28.3351164208259,0,0,0
20,333,15.7266980845787,-77.9815635444745,26.1421067749001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-135.020017769136,-75.924564793283,-119.336123621444,-136.824776022674,-69.9416346550224,-9.9874647397559,-11.4438819566053,26.9657638624715,16.4928197439197,0,0,0,147.603296228942,-63.2974741150398,175.090452310511,173.774420085503,-63.9415626658332,33.7488582447597,-9.98161534326157,25.9932570238341,28.0731339390289,0,0,0
21,334,15.5273033175062,-78.1803686523256,26.0079721310064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-135.026264701287,-76.0052780619786,-119.339857420595,-136.89015674019,-69.9540313857834,-9.93702221233778,-11.4259860447169,26.9699527148792,16.5008712659165,0,0,0,149.473936625671,-63.9587229989754,173.508150137447,173.558939247237,-65.3072443854501,33.3354664590126,-9.66963887720227,24.7047250252672,27.811313970586,0,0,0
22,335,15.330421534133,-78.4136676948955,25.8507758298452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-134.960398924855,-76.075543407135,-119.399580212174,-137.00299076346,-69.943743299001,-9.7981343505362,-11.4064658200672,26.9774431806455,16.5088820061067,0,0,0,151.430153894297,-64.6852694270306,171.795760869593,173.365082750418,-66.722734955503,32.8629471157913,-9.33036926881092,23.4268164833014,27.5875349453818,0,0,0
23,336,15.1186188306706,-78.6734282218853,25.6844004956537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-134.824455431682,-76.1285835648029,-119.515343414265,-137.188022001491,-69.9056916936115,-9.55418616171265,-11.3906041371455,26.9848975101996,16.5117609800253,0,0,0,153.427315249861,-65.4529321786976,169.977169299221,173.188926168476,-68.1669973053506,32.3594562050062,-8.76083237237253,23.1150106461877,27.450409687612,0,0,0
24,337,14.8883088866162,-78.9453584742456,25.514984981052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-134.593597675449,-76.1519422176928,-119.709127068461,-137.484272480421,-69.8397421812046,-9.19277591342061,-11.3707255020106,26.9973241591552,16.5126839376748,0,0,0,155.407072179967,-66.2718572451806,168.086864650812,173.000283050994,-69.4835019534718,31.8638880022622,-7.18674702543161,19.018149723732,27.7408976655597,0,0,0
25,338,14.6544124550848,-79.2281270346002,25.32151120891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-134.250794117531,-76.1363535066323,-119.978685904878,-137.955047749802,-69.7448749390036,-8.68223181760905,-11.3530707525253,27.011568672882,16.5113680424568,0,0,0,157.508606344278,-67.0760585559732,165.994383965483,172.821913807866,-70.5048963301657,31.4195280220995,-6.41099813522108,18.578755733345,27.9224647038286,0,0,0
26,339,14.3888207347527,-79.5020280330313,25.1086757261836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-133.755471406657,-76.07286416336,-120.326647647598,-138.578827547091,-69.6249276564543,-7.99016895891567,-11.3339873267137,27.039946094644,16.5088798528544,0,0,0,159.718843295925,-67.789710047336,163.647961596279,172.2993855308,-71.2770654708174,31.3575071363593,-7.37989158203222,18.2458446257427,27.9804814762269,0,0,0
27,340,14.057693336137,-79.747756543232,24.8863368874145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-133.104431968405,-75.9547708166136,-120.741188102758,-139.370595839778,-69.4725420925593,-7.13567692261948,-11.3029082798903,27.0770702714668,16.50093089007,0,0,0,161.803197346718,-68.2529568560275,161.223378111259,171.656741674071,-71.7862724504774,31.6492628407516,-6.16457063437838,17.3298733606731,28.0479840666124,0,0,0
28,341,13.7913290593172,-79.9718159267729,24.5795323630117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-132.389669032772,-75.7711941563424,-121.181251020324,-140.244226976896,-69.2878860072072,-6.09843735928631,-11.2851582005468,27.1327300223023,16.4923405625363,0,0,0,163.338055866337,-68.3819510382914,159.262108978835,171.101816896093,-72.1542211651919,31.7660504492756,-6.39089214853152,18.0140365179881,28.0488911142678,0,0,0
29,342,13.6549812506457,-80.0231252787707,24.1678347053954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-131.745594887686,-75.4942195060687,-121.591523760206,-141.133744630524,-69.062374795487,-5.0106064627131,-11.2711856784767,27.2112135468357,16.4725188393298,0,0,0,163.811541721765,-68.5257094018676,158.514545585675,170.383482316738,-72.4698561363511,32.2505335659951,-6.57428582267897,18.1670632245002,28.0237379119121,0,0,0
30,343,13.6915025890782,-79.8180256312847,23.5701490763116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-131.22893989307,-75.0987738235124,-121.97413747814,-142.131986862488,-68.8177073931493,-4.01687071853661,-11.2741348890334,27.312767484775,16.4517602556511,0,0,0,163.691827021133,-68.6538426331647,158.332197439642,169.75518228916,-72.7971580182549,32.9850584656889,-6.58231188162934,18.1982170001382,27.9105816611517,0,0,0
31,344,14.3503490645533,-79.6359196143641,22.6071486958224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-130.780769661901,-74.5912538580998,-122.433723665398,-143.348208656689,-68.5878104950845,-3.16833906797702,-11.2539550436932,27.4616762783841,16.4451373750015,0,0,0,163.113975814469,-68.8625788598061,158.447452032938,169.275415503362,-73.0580474575429,33.7434016671588,-6.71254127583034,18.2510236354638,27.7924563849113,0,0,0
32,345,15.4938970572918,-79.6365109288262,21.4018378520755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-130.259001442939,-74.0374906646744,-123.159615565434,-144.789570278833,-68.3741162585792,-2.48478636433174,-11.2067305494989,27.6358471436526,16.4689795370462,0,0,0,162.190668019097,-69.1749187872589,158.790688652369,168.842916437474,-73.2875926192885,34.4344593615381,-6.89551478217285,18.2392056550285,27.6827647398963,0,0,0
33,346,16.5420697865985,-79.6628839973517,20.309429686262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-129.626168638181,-73.5037735628831,-124.22025467875,-146.396667085352,-68.163733850179,-1.90698273482978,-11.1167890358987,27.8500984319526,16.5324511565628,0,0,0,161.181415178784,-69.5539608861147,159.285122111347,168.541441283729,-73.5064295775747,34.9238785904855,-6.98948547513241,18.2343866994756,27.5885151148147,0,0,0
34,347,17.138765767881,-79.6312034906103,19.5840358653007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-128.947299274107,-73.0358759912961,-125.587727434252,-148.036491741518,-67.9385910165471,-1.35667344947515,-10.9684530537403,28.1036363181219,16.6345901068192,0,0,0,160.538247408646,-69.8919601629619,159.573874882964,168.437583479451,-73.7026892496354,35.0131158545044,-7.06063550700658,18.1918819563148,27.557228580054,0,0,0
35,348,17.2462604523361,-79.5138843168522,19.2773318354149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-128.21641065987,-72.6514825492621,-127.259891777397,-149.571259218317,-67.682071548264,-0.783657255279697,-10.7789524231027,28.4252090487711,16.7514753690968,0,0,0,160.643705409294,-70.0229031072836,159.305454820853,168.222320111525,-73.8830402952505,34.9715924036936,-7.07233973931697,18.1367048374562,27.584622216326,0,0,0
