,Frame,Pelvis x,Pelvis y,Pelvis z,L5 x,L5 y,L5 z,L3 x,L3 y,L3 z,T12 x,T12 y,T12 z,T8 x,T8 y,T8 z,Neck x,Neck y,Neck z,Head x,Head y,Head z,Right Shoulder x,Right Shoulder y,Right Shoulder z,Right Upper Arm x,Right Upper Arm y,Right Upper Arm z,Right Forearm x,Right Forearm y,Right Forearm z,Right Hand x,Right Hand y,Right Hand z,Left Shoulder x,Left Shoulder y,Left Shoulder z,Left Upper Arm x,Left Upper Arm y,Left Upper Arm z,Left Forearm x,Left Forearm y,Left Forearm z,Left Hand x,Left Hand y,Left Hand z,Right Upper Leg x,Right Upper Leg y,Right Upper Leg z,Right Lower Leg x,Right Lower Leg y,Right Lower Leg z,Right Foot x,Right Foot y,Right Foot z,Right Toe x,Right Toe y,Right Toe z,Left Upper Leg x,Left Upper Leg y,Left Upper Leg z,Left Lower Leg x,Left Lower Leg y,Left Lower Leg z,Left Foot x,Left Foot y,Left Foot z,Left Toe x,Left Toe y,Left Toe z
0,710,81.7280258119224,-77.5725245053484,-119.303751180379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-125.993508091078,77.5171399452661,116.357581749811,165.813997142702,42.6505120493093,149.76664385606,10.677214903577,-59.3117002650589,136.093654635086,0,0,0,138.855431272127,-71.4997407591541,103.212642243834,-157.758787516823,-75.9860367473291,-57.0486949069575,4.51508813332662,-20.8740062549087,147.44553124536,0,0,0
1,711,80.441266083806,-77.6130434338476,-118.274854590035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-128.619618571498,79.062544233598,113.69637985961,167.029831017083,41.143636932266,149.502939136603,12.735306951769,-62.6169682516497,133.896807565842,0,0,0,141.254124528048,-71.7242471674478,101.568784491624,-158.76773593176,-75.8299354094746,-56.289667648432,4.53784022401565,-20.8353546019066,147.434567736138,0,0,0
2,712,79.1699025900782,-77.661158958137,-117.280141241055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-131.99449838564,80.6643996956957,110.194377815762,168.330982190356,39.7642288632454,149.188959181041,15.3665123155725,-65.8342689363357,131.045725673377,0,0,0,143.547858513765,-71.953593454774,99.789521223602,-159.803647015855,-75.6695483348131,-55.5127701218727,4.55420306124241,-20.8011071287318,147.428800448162,0,0,0
3,713,77.9503716539938,-77.7177364454562,-116.341652467793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-136.351266716476,82.271045284507,105.600058508866,169.660632273356,38.5829693688846,148.79174559379,18.8425883082241,-68.8401581036779,127.388132605952,0,0,0,145.682331923781,-72.2052583494336,97.8935456327788,-160.691491130173,-75.4883667850714,-54.8350076229206,4.57518534675468,-20.7706212801719,147.421420126464,0,0,0
4,714,76.7709440024437,-77.7754115813783,-115.440309974945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-142.661863839067,83.7829810681683,98.9361437104532,170.950506533324,37.6094960530838,148.312398226493,22.2676575537457,-71.171496977638,123.707368713728,0,0,0,147.553985394747,-72.4928313814335,95.9778457954228,-161.468106556066,-75.2821782161836,-54.2098873481336,4.6095301535619,-20.7426680680899,147.410610766212,0,0,0
5,715,75.6776179746584,-77.8343965109851,-114.599447278609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-152.216481737157,85.1367881787227,89.0165089716601,172.072521665002,36.9156306148559,147.756112105987,24.4765741658514,-72.8307407355794,121.258159828278,0,0,0,149.107201866089,-72.78520961798,94.1503261077685,-162.171773621155,-75.056587079203,-53.6218130657954,4.65364132129598,-20.7247736086319,147.395901908161,0,0,0
6,716,74.7216354382217,-77.9000770523633,-113.867017770618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-167.272225297416,86.2176264175872,73.6852684294888,172.926905386206,36.5164422036364,147.246784014348,24.4133379428765,-73.4722693508656,121.029740288865,0,0,0,150.361898859361,-73.0386767389487,92.5067880042841,-162.74971289123,-74.8208723722971,-53.0839874684036,4.70233796112046,-20.7125458768456,147.380040467973,0,0,0
7,717,73.8918463062275,-77.9749367363765,-113.283574998768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.793622329892,86.8451147642297,50.629894669097,173.419214590547,36.3454262182818,146.796483499477,23.4502813710996,-73.5371386461346,122.054910468927,0,0,0,151.467234875876,-73.2778104864547,90.9135795747623,-163.268551682269,-74.5792736971861,-52.5611622037378,4.74112281735334,-20.7162359518836,147.261557851479,0,0,0
8,718,73.1383970377156,-78.0783143902681,-112.687354630442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.078997658773,86.8125647651289,23.9253471383691,173.524790548584,36.4153621567416,146.386888859417,22.2026581119807,-73.3654624543405,123.54805308558,0,0,0,152.44150028379,-73.4943842099216,89.4975239319969,-163.735172042874,-74.3193534998058,-52.1242556931054,4.77813299512487,-20.7179113841616,147.254683504822,0,0,0
9,719,72.3440617576517,-78.1969611027624,-112.02701236443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.456259407061,86.1844101798867,2.54161705146722,173.243917579763,36.7613249967455,146.035578476524,20.3564339354754,-72.9881961799681,125.418507909562,0,0,0,153.451453922287,-73.6750850102063,88.1301577629023,-164.269126274818,-74.0419901992495,-51.7261048814257,4.79281648452304,-20.7255056190971,147.257019344044,0,0,0
